area,state,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
1,Alabama,00-0000,1945300,13.53,7.12,9.12,21.19,31.23
1,Alabama,11-0000,79400,36.75,18.60,26.17,52.02,75.47
1,Alabama,11-1011,3630,73.07,31.58,48.41,#,#
1,Alabama,11-1021,33500,37.03,19.76,26.42,54.55,#
1,Alabama,11-1031,1580,*,*,*,*,*
1,Alabama,11-2011,190,31.89,20.36,26.26,46.87,61.89
1,Alabama,11-2021,700,45.55,25.46,34.17,58.99,75.79
1,Alabama,11-2022,2910,40.94,20.54,27.86,57.74,79.24
1,Alabama,11-2031,450,33.08,20.41,25.10,46.37,61.07
1,Alabama,11-3011,1170,31.71,17.97,23.11,41.11,53.23
1,Alabama,11-3021,2190,45.14,28.22,35.86,57.04,68.76
1,Alabama,11-3031,4800,41.08,24.23,30.42,54.27,71.79
1,Alabama,11-3041,220,38.96,24.01,29.85,50.28,64.99
1,Alabama,11-3042,200,32.40,20.68,25.27,43.13,52.11
1,Alabama,11-3049,700,39.69,26.35,31.74,51.27,65.66
1,Alabama,11-3051,2350,36.66,21.63,28.21,47.73,60.01
1,Alabama,11-3061,910,43.49,26.28,34.11,54.90,66.27
1,Alabama,11-3071,990,34.94,19.43,25.57,44.79,53.82
1,Alabama,11-9021,3310,31.92,20.51,25.52,41.83,58.21
1,Alabama,11-9031,410,19.42,13.42,15.16,30.62,39.39
1,Alabama,11-9032,3200,*,*,*,*,*
1,Alabama,11-9033,2000,38.61,21.27,27.47,52.10,75.63
1,Alabama,11-9039,410,37.85,22.40,30.24,46.36,54.94
1,Alabama,11-9041,2490,51.25,34.09,41.68,61.61,72.48
1,Alabama,11-9051,2690,20.14,13.35,16.23,25.57,34.32
1,Alabama,11-9061,570,18.52,12.87,15.68,23.60,30.49
1,Alabama,11-9081,430,18.55,11.57,14.12,24.77,31.73
1,Alabama,11-9111,2310,36.33,21.47,28.45,47.84,63.00
1,Alabama,11-9121,**,46.17,32.48,39.22,57.75,71.67
1,Alabama,11-9131,520,29.31,19.60,25.42,34.45,38.11
1,Alabama,11-9141,790,26.49,16.67,21.06,36.54,45.77
1,Alabama,11-9151,950,21.82,14.21,17.19,30.36,39.12
1,Alabama,11-9199,2630,41.31,22.30,30.38,52.86,64.56
1,Alabama,13-0000,62630,25.91,14.88,19.07,35.57,46.17
1,Alabama,13-1021,130,28.21,16.27,21.42,40.45,48.94
1,Alabama,13-1022,1260,19.76,13.00,15.75,26.29,34.07
1,Alabama,13-1023,5110,25.87,14.82,19.31,35.53,44.47
1,Alabama,13-1031,2630,27.55,16.41,19.91,34.27,38.75
1,Alabama,13-1032,280,35.37,30.54,32.99,37.75,39.18
1,Alabama,13-1041,1900,22.51,14.19,17.26,29.76,37.72
1,Alabama,13-1051,2610,24.04,14.14,18.18,30.80,39.19
1,Alabama,13-1061,320,19.33,13.06,15.32,27.98,38.73
1,Alabama,13-1071,2010,18.54,11.86,14.40,24.90,33.27
1,Alabama,13-1072,920,22.52,16.21,18.57,27.37,32.71
1,Alabama,13-1073,2120,20.49,12.33,15.74,28.03,35.54
1,Alabama,13-1079,3040,23.89,10.26,18.00,31.81,39.85
1,Alabama,13-1081,2390,36.61,22.14,29.16,44.11,49.33
1,Alabama,13-1111,4780,33.39,18.78,24.82,45.62,70.23
1,Alabama,13-1121,240,16.01,10.64,12.48,20.20,25.12
1,Alabama,13-1199,6920,31.32,17.75,24.21,40.24,49.36
1,Alabama,13-2011,13240,24.79,16.37,19.66,32.86,42.22
1,Alabama,13-2021,810,20.49,12.66,15.51,28.06,38.67
1,Alabama,13-2031,840,30.29,19.69,24.40,37.74,45.47
1,Alabama,13-2041,630,19.94,13.50,16.35,29.40,40.41
1,Alabama,13-2051,710,26.84,17.42,20.38,39.05,50.72
1,Alabama,13-2052,1470,36.48,16.88,20.77,74.13,#
1,Alabama,13-2053,590,22.32,15.74,17.99,28.37,37.58
1,Alabama,13-2061,510,21.23,15.04,17.41,29.59,44.28
1,Alabama,13-2071,460,16.10,13.17,14.22,18.68,20.42
1,Alabama,13-2072,4250,26.77,15.81,19.56,37.39,50.92
1,Alabama,13-2081,970,23.68,12.66,17.62,33.51,38.70
1,Alabama,13-2082,760,11.96,6.89,9.43,16.70,22.19
1,Alabama,13-2099,680,28.69,11.46,19.43,36.95,47.40
1,Alabama,15-0000,34460,31.14,15.76,21.80,40.73,49.59
1,Alabama,15-1011,330,46.99,34.04,40.74,55.16,62.06
1,Alabama,15-1021,4060,32.61,18.77,23.76,40.53,49.39
1,Alabama,15-1031,2940,37.32,20.91,27.68,46.45,53.73
1,Alabama,15-1032,4770,40.83,24.69,31.85,48.92,57.98
1,Alabama,15-1041,5910,16.77,9.29,11.81,22.27,28.47
1,Alabama,15-1051,6620,33.52,20.68,26.66,40.07,48.54
1,Alabama,15-1061,1070,28.85,16.89,21.17,37.55,46.22
1,Alabama,15-1071,3650,27.96,17.99,22.05,35.99,44.40
