area,state,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
1,Alabama,00-0000,1883310,15.17,8.36,9.93,24.39,36.88
1,Alabama,11-0000,69100,45.9,25.16,33.71,63.15,#
1,Alabama,11-1011,1100,#,52.6,69.78,#,#
1,Alabama,11-1021,27240,49.2,27.79,36.03,71.98,#
1,Alabama,11-1031,1430,*,*,*,*,*
1,Alabama,11-2011,50,41.29,24.8,32.2,62.47,#
1,Alabama,11-2021,550,57.58,32.68,40.48,83.28,#
1,Alabama,11-2022,2290,53.11,30.02,39.65,71.11,#
1,Alabama,11-2031,470,40.22,26.84,32.3,51.65,70.46
1,Alabama,11-3011,690,42.35,24.72,32.9,56.39,80.72
1,Alabama,11-3021,3320,54.32,30.95,41.46,69.78,88.38
1,Alabama,11-3031,4390,54.36,32.76,41.95,71.09,#
1,Alabama,11-3051,2880,44.56,29.32,35.64,56.21,69.06
1,Alabama,11-3061,900,52.87,32.32,40.1,61.05,72.83
1,Alabama,11-3071,670,41.16,26.29,32.93,52.43,65.53
1,Alabama,11-3111,90,53.17,33.03,42.44,66.81,86
1,Alabama,11-3121,1250,45.33,26.93,35.11,57.55,72.06
1,Alabama,11-3131,160,47.99,31.13,38.37,61.13,88.23
1,Alabama,11-9021,2590,39.2,25.98,31.7,49.68,64.86
1,Alabama,11-9031,130,19.48,9.23,13.95,30.95,44.18
1,Alabama,11-9032,3500,*,*,*,*,*
1,Alabama,11-9033,2210,40.4,25.02,30.65,55.69,79.84
1,Alabama,11-9039,510,43.95,24.52,32.21,51.58,60.09
1,Alabama,11-9041,2610,62.39,42.39,52.36,76.01,#
1,Alabama,11-9051,2160,27.5,18.39,21.77,35.17,44.88
1,Alabama,11-9061,290,30.66,20.6,25.09,38.5,47.01
1,Alabama,11-9081,510,21.95,16.09,18.46,27.25,33.49
1,Alabama,11-9111,2610,42.69,27.68,33.82,56.47,72.83
1,Alabama,11-9121,190,49.91,36.74,42.79,58.49,70.96
1,Alabama,11-9131,280,35.5,29.25,31.48,38.64,42.46
1,Alabama,11-9141,450,31.49,20.45,25.23,42.07,54.53
1,Alabama,11-9151,1080,28.56,17.97,22.04,38.48,48.53
1,Alabama,11-9161,190,28.9,17.26,22.12,40.53,51.56
1,Alabama,11-9199,2260,47.57,24.26,35.06,58.69,73.35
1,Alabama,13-0000,69290,30.26,17.02,22.52,40.19,51.66
1,Alabama,13-1021,190,29.71,19.77,25.21,37.38,51.87
1,Alabama,13-1022,480,22.44,13.29,16.46,30.4,37.86
1,Alabama,13-1023,5840,30.12,16.99,22.39,39.1,47.97
1,Alabama,13-1031,3630,28.86,16.23,20.18,35.98,41.64
1,Alabama,13-1032,**,33.36,24.38,27.99,38.18,45.12
1,Alabama,13-1041,1410,30.05,18.02,23.55,39.45,47.1
1,Alabama,13-1051,2110,27.91,16.85,21.39,35.69,44.25
1,Alabama,13-1071,5060,26.56,16.03,20.29,34.81,43.29
1,Alabama,13-1075,920,24.4,7.99,8.78,38.45,49.54
1,Alabama,13-1081,3520,40.79,25.54,31.55,48.63,55.14
1,Alabama,13-1111,4380,38.87,21.44,28.93,50.87,70.32
1,Alabama,13-1121,460,23.23,15,17.51,27.93,30.75
1,Alabama,13-1131,660,21.98,15.41,18.03,27.89,35.91
1,Alabama,13-1141,570,27.11,18.45,22.02,33.31,39.89
1,Alabama,13-1151,2770,26.3,14.49,18.16,34.62,44.2
1,Alabama,13-1161,2890,26.52,15.07,19.41,35.62,46.59
1,Alabama,13-1199,6510,36.66,22.9,29.1,46.23,59.18
