area,state,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
1,Alabama,00-0000,1872600,12.07,6.44,8.29,18.91,27.76
1,Alabama,11-0000,79730,32.39,16.03,22.80,45.48,66.80
1,Alabama,11-1011,3300,64.39,22.63,40.08,#,#
1,Alabama,11-1021,27450,34.44,17.36,23.37,53.07,#
1,Alabama,11-1031,1730,*,*,*,*,*
1,Alabama,11-2011,370,23.12,12.86,16.36,35.08,60.09
1,Alabama,11-2021,1300,33.55,19.60,25.59,46.45,59.60
1,Alabama,11-2022,2900,34.97,16.56,23.74,47.79,66.18
1,Alabama,11-2031,460,29.32,16.67,22.90,38.78,45.72
1,Alabama,11-3011,2150,26.59,14.76,19.02,35.75,44.56
1,Alabama,11-3021,2770,39.54,24.80,31.82,47.46,55.59
1,Alabama,11-3031,5060,34.91,20.89,26.75,43.83,55.64
1,Alabama,11-3041,460,28.50,18.67,22.50,37.29,44.79
1,Alabama,11-3042,280,28.67,16.26,20.03,35.30,42.59
1,Alabama,11-3049,760,33.87,21.48,26.53,42.34,52.37
1,Alabama,11-3051,2330,31.28,18.99,24.01,40.57,50.26
1,Alabama,11-3061,880,34.65,19.19,25.83,43.52,52.94
1,Alabama,11-3071,1150,28.49,16.99,22.13,36.94,46.40
1,Alabama,11-9011,50,22.59,14.80,17.76,28.44,33.85
1,Alabama,11-9021,3480,26.94,18.03,21.04,34.57,47.36
1,Alabama,11-9031,580,14.36,11.01,12.13,24.33,34.19
1,Alabama,11-9032,2850,*,*,*,*,*
1,Alabama,11-9033,2710,30.26,17.65,22.53,41.08,53.92
1,Alabama,11-9039,470,26.35,12.15,16.39,34.41,42.53
1,Alabama,11-9041,2910,45.62,28.90,36.29,56.55,67.04
1,Alabama,11-9051,2100,17.45,10.77,13.41,23.89,28.64
1,Alabama,11-9061,410,18.32,11.90,14.52,25.89,46.79
1,Alabama,11-9081,490,15.41,9.66,11.46,20.54,26.04
1,Alabama,11-9111,2820,31.43,20.37,25.05,40.71,56.25
1,Alabama,11-9121,200,43.90,28.61,33.41,54.41,65.89
1,Alabama,11-9131,500,25.78,18.26,22.78,30.32,33.95
1,Alabama,11-9141,1090,24.54,13.83,16.88,34.27,47.05
1,Alabama,11-9151,1140,23.09,13.44,16.96,29.91,34.22
1,Alabama,11-9199,4570,37.26,21.13,27.63,45.38,55.29
1,Alabama,13-0000,57660,22.80,12.26,16.69,31.54,41.29
1,Alabama,13-1021,140,18.77,12.80,14.74,27.50,35.51
1,Alabama,13-1022,1180,17.32,10.78,13.55,22.86,29.34
1,Alabama,13-1023,4550,22.76,13.40,16.97,31.21,40.56
1,Alabama,13-1031,2220,21.05,12.88,16.01,29.33,35.37
1,Alabama,13-1032,180,20.62,14.08,18.26,25.36,32.05
1,Alabama,13-1041,1560,19.99,13.06,17.01,25.15,31.82
1,Alabama,13-1051,2260,20.99,11.62,15.75,27.76,36.07
1,Alabama,13-1061,360,16.56,12.48,14.52,20.97,29.77
1,Alabama,13-1071,1260,15.29,10.07,11.89,21.18,27.95
1,Alabama,13-1072,950,20.14,12.93,16.50,24.59,29.12
1,Alabama,13-1073,2450,19.33,11.72,14.56,25.54,32.17
1,Alabama,13-1079,2410,18.25,6.01,6.95,24.33,32.91
1,Alabama,13-1081,400,28.80,17.70,22.96,34.88,43.21
1,Alabama,13-1111,4040,29.64,16.45,22.54,38.80,51.40
1,Alabama,13-1121,200,14.72,8.87,11.40,18.58,26.82
1,Alabama,13-1199,8210,30.04,15.13,21.76,37.89,44.59
1,Alabama,13-2011,12160,22.56,14.09,17.65,29.08,39.85
1,Alabama,13-2021,770,20.47,11.70,14.80,29.69,34.52
1,Alabama,13-2031,800,27.72,18.96,22.81,34.34,40.94
1,Alabama,13-2041,520,20.09,14.34,15.99,27.56,37.91
1,Alabama,13-2051,1160,29.24,19.14,23.41,34.55,44.62
1,Alabama,13-2052,1050,34.42,15.60,21.50,62.76,#
