area,state,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
1,Alabama,00-0000,1863620,13.95,7.48,9.33,22.01,32.20
1,Alabama,11-0000,75100,37.92,19.49,26.97,53.94,77.24
1,Alabama,11-1011,2960,77.32,33.68,50.66,#,#
1,Alabama,11-1021,33390,38.03,20.42,27.06,56.43,#
1,Alabama,11-1031,1350,*,*,*,*,*
1,Alabama,11-2011,160,31.85,19.79,26.54,43.62,61.82
1,Alabama,11-2021,710,45.76,26.13,34.60,60.70,72.81
1,Alabama,11-2022,2700,38.87,21.07,27.96,56.29,79.69
1,Alabama,11-2031,460,34.28,21.49,26.23,48.38,62.12
1,Alabama,11-3011,1180,33.96,18.77,24.67,44.79,56.99
1,Alabama,11-3021,2210,47.34,29.82,37.06,59.24,70.52
1,Alabama,11-3031,4360,43.43,25.32,32.16,57.31,75.91
1,Alabama,11-3041,200,38.09,24.92,29.98,48.16,55.55
1,Alabama,11-3042,230,35.03,21.33,25.79,44.10,56.60
1,Alabama,11-3049,670,40.79,27.35,32.66,50.98,63.18
1,Alabama,11-3051,2130,37.07,21.50,28.54,48.92,61.15
1,Alabama,11-3061,860,42.84,25.81,33.29,54.05,65.52
1,Alabama,11-3071,830,36.41,21.11,27.32,46.93,56.61
1,Alabama,11-9021,2610,32.87,21.68,26.44,42.09,56.89
1,Alabama,11-9031,370,18.07,12.73,14.49,29.14,39.26
1,Alabama,11-9032,3020,*,*,*,*,*
1,Alabama,11-9033,2060,40.29,21.49,28.17,56.81,#
1,Alabama,11-9039,350,41.00,25.83,34.59,49.69,56.73
1,Alabama,11-9041,2420,52.49,34.75,42.83,62.68,74.65
1,Alabama,11-9051,2310,21.46,13.88,17.38,26.84,36.00
1,Alabama,11-9061,550,18.83,12.13,15.89,25.71,35.86
1,Alabama,11-9081,350,18.68,11.70,14.78,22.47,28.15
1,Alabama,11-9111,2280,37.19,22.32,29.29,48.70,62.38
1,Alabama,11-9121,150,49.41,36.83,42.25,59.90,69.09
1,Alabama,11-9131,480,29.00,16.80,25.75,34.90,39.01
1,Alabama,11-9141,620,28.58,16.17,21.91,40.37,54.34
1,Alabama,11-9151,830,23.32,14.44,17.41,30.70,39.37
1,Alabama,11-9199,2300,41.48,22.64,30.67,52.49,62.64
1,Alabama,13-0000,61990,26.82,15.26,19.65,35.97,46.72
1,Alabama,13-1011,50,21.89,14.84,19.34,49.46,76.40
1,Alabama,13-1021,160,25.71,13.06,19.75,31.72,45.65
1,Alabama,13-1022,1220,19.42,12.76,15.85,27.00,35.21
1,Alabama,13-1023,5120,26.00,15.28,19.31,35.86,45.74
1,Alabama,13-1031,3090,28.03,16.21,20.25,34.68,39.55
1,Alabama,13-1032,500,36.37,23.01,33.23,38.97,40.54
1,Alabama,13-1041,1840,24.25,14.33,17.77,31.27,39.59
1,Alabama,13-1051,2450,24.61,14.96,19.02,30.97,38.60
1,Alabama,13-1061,320,21.03,13.55,16.18,29.26,39.99
