area,area_title,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
1,Alabama,15-1255,40,36.26,20.67,25.74,41.78,60.65
1,Alabama,15-1299,2100,44.51,24.17,33.47,53.61,61.13
1,Alabama,15-2011,70,39.6,31.18,34.95,51.97,67.81
1,Alabama,15-2031,510,53.3,28.11,38.43,64.41,76.82
1,Alabama,15-2041,180,32.21,23.74,28.5,39,54.65
1,Alabama,15-2051,**,41.29,25.12,31.77,53,66.56
1,Alabama,15-2099,40,23.68,16.86,16.86,24.57,27.55
1,Alabama,17-0000,45670,42.08,22.74,30.91,59.64,74.41
1,Alabama,17-1011,960,*,*,*,*,*
1,Alabama,17-1012,160,29.43,17.89,19.87,37.63,51.74
1,Alabama,17-1021,50,35.76,22.66,30.24,43.58,50.77
1,Alabama,17-1022,730,24.05,17.76,20.96,35.59,41.12
1,Alabama,17-2011,3900,61.13,36.88,47.03,73.03,82.8
1,Alabama,17-2031,30,36.7,19.83,30.06,48.69,57.46
1,Alabama,17-2041,720,54.83,36.1,39.59,59.8,63.57
1,Alabama,17-2051,5130,40.35,27.13,31.42,51.62,63.66
1,Alabama,17-2061,790,61.13,39.55,48.95,71.73,84.75
1,Alabama,17-2071,3720,49.65,32.04,38.47,62.92,79.8
1,Alabama,17-2072,1940,50.14,36.73,39.94,63.03,79.97
1,Alabama,17-2081,770,42.38,27.67,33.01,57.62,69.71
1,Alabama,17-2111,540,48.98,35.66,40.7,61.01,73.94
1,Alabama,17-2112,7160,41.19,29.65,37.18,50.35,62.28
1,Alabama,17-2121,130,40.56,32.71,38.85,50.1,61.72
1,Alabama,17-2131,670,48.04,30.56,38.49,61.07,72.24
1,Alabama,17-2141,5060,47.01,29.61,36.72,59.88,70.45
1,Alabama,17-2151,210,39.75,23.45,30.05,46.37,59.02
1,Alabama,17-2161,200,62.91,41.97,49.51,64.81,76.81
1,Alabama,17-2171,30,57.69,25.55,28.91,65.95,70.67
1,Alabama,17-2199,3550,62.55,38.58,48.93,78.46,84.75
1,Alabama,17-3011,1060,23.69,15.61,19.2,29.69,37.99
