area,area_title,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
1,Alabama,00-0000,1928110,17.91,8.96,11.89,28.68,39.79
1,Alabama,11-0000,96070,45.51,22.55,30.19,61.25,87.58
1,Alabama,11-1011,690,61.14,28.46,45.36,82.09,#
1,Alabama,11-1021,34370,46.28,22.22,29.93,68.75,#
1,Alabama,11-1031,1030,*,*,*,*,*
1,Alabama,11-2011,30,47.59,23.57,36.22,72.17,77.94
1,Alabama,11-2021,1210,49.6,29.21,37.39,75.43,99.92
1,Alabama,11-2022,3550,49.31,28.57,37.25,73.69,#
1,Alabama,11-2032,370,45.39,22.67,29.04,61.17,80.65
1,Alabama,11-2033,160,35.9,18.36,27.92,47.27,53.59
1,Alabama,11-3012,410,55.86,30.1,37.05,71.43,99.41
1,Alabama,11-3013,660,49.09,28.35,38.44,62.5,79.07
1,Alabama,11-3021,4460,60.82,36.08,45.58,77.65,92.03
1,Alabama,11-3031,5340,57.8,36.23,45.69,77.49,#
1,Alabama,11-3051,2730,49.09,31.27,39.05,62.86,78.92
1,Alabama,11-3061,1090,54.83,29.93,38.43,63.52,80.7
1,Alabama,11-3071,1090,45.44,28.89,36.4,57.41,77.18
1,Alabama,11-3111,90,49.33,29.37,38.99,63.08,78.34
1,Alabama,11-3121,1650,47.59,24.78,36.93,61.03,78.28
1,Alabama,11-3131,160,45.64,29.19,35.86,60.88,78.1
1,Alabama,11-9021,5090,45.39,28.43,36.1,57.31,77.56
1,Alabama,11-9031,370,18.07,13.93,14.64,26.45,29.11
1,Alabama,11-9032,3650,*,*,*,*,*
1,Alabama,11-9033,3020,45.39,28.29,35.69,60.04,91.29
1,Alabama,11-9041,2670,64.66,42.77,51.16,80.06,99.91
1,Alabama,11-9051,2990,28.19,18.13,22.54,36.89,46.94
1,Alabama,11-9081,540,28.73,15.7,22.08,36.66,46.83
1,Alabama,11-9111,7840,38.3,28.33,30.73,49.1,72.11
1,Alabama,11-9121,200,61.13,38.62,48.43,#,#
1,Alabama,11-9131,260,39.37,35,36.59,43.7,47.41
1,Alabama,11-9141,2320,22.92,14.78,18.01,29.59,39.82
1,Alabama,11-9151,2000,29.37,17.74,22.61,37.86,48.16
1,Alabama,11-9161,280,31.58,17.81,22.87,42.56,57.31
1,Alabama,11-9171,250,30.41,22.86,28,40.1,56.44
1,Alabama,11-9199,3160,45.77,18.51,29.2,60.6,77.03
1,Alabama,13-0000,89400,30.37,18.24,23.34,44.88,58.84
1,Alabama,13-1020,7550,29.6,17.88,22.91,40.27,53.42
1,Alabama,13-1031,3700,35.32,22.74,28.82,38.55,46.11
1,Alabama,13-1032,50,22.57,22.53,22.57,36.57,37.94
1,Alabama,13-1041,2420,30.17,17.72,23.03,41.32,51.68
1,Alabama,13-1051,2000,29.11,18.31,23.16,37.59,48.55
1,Alabama,13-1071,7590,28.49,17.85,22.14,36.76,46.37
1,Alabama,13-1075,700,27.7,8.79,9.06,36.41,58.18
1,Alabama,13-1081,5350,39.73,22.82,29.82,50.36,59.52
1,Alabama,13-1082,450,48.92,29.37,37.27,62.43,81.2
1,Alabama,13-1111,4700,41.85,23.34,31.68,56.26,75.03
1,Alabama,13-1121,640,22.79,14.43,18.26,28.64,30.5
1,Alabama,13-1131,820,23.16,14.46,18.23,29.26,36.83
1,Alabama,13-1141,670,29.55,18.53,23.29,36.59,40.39
1,Alabama,13-1151,2780,29.96,18,23.13,38.61,56.34
1,Alabama,13-1161,5720,24.73,14.42,18.63,36.73,48.32
1,Alabama,13-1199,6190,40.4,23.31,30.86,51.89,63.55
1,Alabama,13-2011,20830,29.9,21.61,23.7,38.76,49.97
1,Alabama,13-2020,760,23.49,14.55,17.94,34.52,38.11
1,Alabama,13-2031,860,43.64,23.63,33.15,53.42,61.53
1,Alabama,13-2041,480,35.96,22.04,23.96,46.17,55.68
1,Alabama,13-2051,2260,46.61,28.19,35.9,60.95,78.08
1,Alabama,13-2052,2720,46.67,22.16,27.67,76.59,#
1,Alabama,13-2053,840,29.82,18.18,23.53,37.94,48.27
1,Alabama,13-2054,190,46.45,28.17,29.4,63.23,63.23
1,Alabama,13-2071,150,22.75,16.12,18.09,28.65,28.65
1,Alabama,13-2072,5650,25.68,17.19,19.93,39.31,61.58
1,Alabama,13-2081,1130,26.6,17.52,19.84,35.8,40.55
1,Alabama,13-2082,860,13.61,8.76,10.36,15.79,22.33
1,Alabama,13-2099,540,35.34,21.36,28.32,47.29,62.23
1,Alabama,15-0000,46460,38.4,20.82,29,50.95,64.05
1,Alabama,15-1211,4360,47.27,29.17,36.45,60.95,78.08
1,Alabama,15-1212,2510,40.85,23.17,35.96,59.96,78.05
1,Alabama,15-1221,210,57.58,36.33,46.16,62.54,75.37
1,Alabama,15-1231,1120,29.87,18.47,23.52,38.02,49.23
1,Alabama,15-1232,6620,22.8,13.54,17.74,29,36.83
1,Alabama,15-1241,2470,50.01,36.26,39.81,63.42,79.55
1,Alabama,15-1242,2210,37.88,23.34,29.38,48.06,60.07
1,Alabama,15-1243,360,59.61,36.01,44.96,63.42,99.32
1,Alabama,15-1244,4310,37.04,22.74,29.11,47.13,57.63
1,Alabama,15-1251,2110,42.56,23.6,30.14,49.08,60.94
1,Alabama,15-1252,14240,47.84,27.83,37.43,61.17,78.05
1,Alabama,15-1253,1550,37.32,15.26,28.57,47.93,60.95
1,Alabama,15-1254,900,20.81,13.08,13.72,29.6,38.19
1,Alabama,15-1255,60,30.45,18.39,22.87,37.04,46.81
1,Alabama,15-1299,2090,43.64,23.41,33.73,51.89,59.52
1,Alabama,15-2031,550,48.6,29.24,37.03,61.77,74.36
1,Alabama,15-2041,180,29.67,21.34,23.75,36.93,47.62
1,Alabama,15-2051,520,38.6,22.63,25.12,49.33,63.14
1,Alabama,15-2099,**,20.89,14.37,15.65,22.62,28.9
1,Alabama,17-0000,46060,39.66,22.62,29.56,58.9,73.94
1,Alabama,17-1011,880,*,*,*,*,*
1,Alabama,17-1012,130,29.11,17.86,23.01,37.7,48.27
1,Alabama,17-1021,70,35.86,18.19,28.96,39.03,45.67
1,Alabama,17-1022,770,23.22,14.22,18.1,29.95,37.84
1,Alabama,17-2011,3860,59.52,36.38,46,70.34,80.54
1,Alabama,17-2021,30,29.62,28.41,28.59,36.95,49.08
1,Alabama,17-2031,50,36.11,22.64,29.9,48.25,68.68
1,Alabama,17-2041,490,46.78,30,36.97,58.41,66.6
1,Alabama,17-2051,5050,40.55,27.21,30.04,57.52,64.84
1,Alabama,17-2061,860,59.34,36.38,47.84,66.67,82.64
1,Alabama,17-2071,4130,48.29,29.98,37.39,62.35,78.08
1,Alabama,17-2072,1880,53.85,35.69,39.87,65.41,80.24
1,Alabama,17-2081,900,38.41,23.17,29.43,57.88,77.62
1,Alabama,17-2111,620,48.07,36.17,39.43,60.95,70.02
1,Alabama,17-2112,6430,45.82,29.08,36.17,48.68,61.84
1,Alabama,17-2121,200,37.6,29.43,36.88,48.07,48.92
1,Alabama,17-2131,800,46.68,29.21,36.17,59.51,66.73
1,Alabama,17-2141,5310,43.88,29.27,36.85,58.07,72.37
1,Alabama,17-2151,220,38.96,23.15,28.63,47.83,61.91
1,Alabama,17-2161,170,56.47,27.66,44.73,59.99,67.31
1,Alabama,17-2171,80,45.62,23.66,28.6,61.9,80.65
1,Alabama,17-2199,3370,60.19,35.67,47.62,77.96,82.74
1,Alabama,17-3011,1230,23.93,14.07,18.27,29.78,37.82
1,Alabama,17-3012,220,23.22,17.75,21.93,36.02,45.25
1,Alabama,17-3013,520,22.85,15.2,18.2,29.19,36.34
1,Alabama,17-3019,30,23.12,16.72,18.2,35.78,46.51
1,Alabama,17-3021,770,30,22.11,23.52,38.16,46.28
1,Alabama,17-3022,1600,22.43,14.36,17.97,28.21,31.58
1,Alabama,17-3023,1660,28.97,18.04,22.83,37.2,46.94
1,Alabama,17-3025,240,18.05,14.07,16.91,23.25,29.4
1,Alabama,17-3026,850,28.68,19.59,22.54,30.71,37.84
1,Alabama,17-3027,950,22.8,17.74,21.86,29.19,36.83
1,Alabama,17-3028,**,23.3,22.03,22.62,28.94,59.94
1,Alabama,17-3029,850,28.44,14.45,21.57,37.2,47.43
1,Alabama,17-3031,770,18.78,13.95,15.08,27.86,35.3
1,Alabama,19-0000,11460,29.84,17.97,22.86,38.98,51.91
1,Alabama,19-1013,130,36.71,23.01,24.23,50.06,59.94
1,Alabama,19-1021,**,24.19,18.65,23.83,39.6,50.62
1,Alabama,19-1022,170,26.6,18.37,21.34,37.37,45.07
1,Alabama,19-1023,260,26.6,18.01,22.54,34.03,42.56
1,Alabama,19-1029,200,32.53,15.66,23.7,40.97,45.94
1,Alabama,19-1031,90,*,*,*,*,*
1,Alabama,19-1032,290,31.58,21.34,26.6,39.26,49.38
1,Alabama,19-1041,60,29.25,19.84,24.12,34.9,44.72
1,Alabama,19-1042,760,30.04,22.59,23.81,37.87,48.84
1,Alabama,19-2012,150,47.99,30.8,37.7,61.52,82.13
1,Alabama,19-2021,230,37.98,31.22,34.61,45.23,56.26
1,Alabama,19-2031,730,37.35,22.95,29.27,48.33,59.52
1,Alabama,19-2041,820,29.33,17.97,23.32,36.89,47.34
1,Alabama,19-2042,150,38.13,23.47,27.94,48.73,59.52
1,Alabama,19-2099,140,57.58,38.49,48.72,75.94,#
1,Alabama,19-3011,50,50.2,23.02,31.08,62.51,#
1,Alabama,19-3033,370,30.06,16.38,19.36,52.36,80.41
1,Alabama,19-3034,250,29.25,28.06,28.49,30.59,35.95
1,Alabama,19-3039,130,50.2,19.02,37.35,57.58,59.52
1,Alabama,19-3051,440,29.84,18.43,23.26,37.61,47.44
1,Alabama,19-3091,90,26.53,21.61,23.19,31.08,39.55
1,Alabama,19-3093,50,27.27,18.17,19.36,41.37,56.68
1,Alabama,19-3099,250,40.97,29.97,34.19,53.3,59.52
1,Alabama,19-4012,50,19.19,13.95,13.95,24.4,30.3
1,Alabama,19-4021,580,18.71,14.88,18.54,23.7,29.84
1,Alabama,19-4031,1360,23.09,14.77,18.42,29.78,37.16
1,Alabama,19-4042,290,29.9,17.67,21.88,45.49,57.96
1,Alabama,19-4043,220,18.54,11.3,15.2,22.4,24.51
1,Alabama,19-4051,170,45.64,28.56,35.64,57.66,57.66
1,Alabama,19-4071,**,22.04,15.19,18.43,25.97,29.33
1,Alabama,19-4092,160,25.31,17.54,21.34,29.33,32.36
1,Alabama,19-4099,280,22.98,14.7,17.54,30.05,39.62
1,Alabama,19-5011,1660,34.51,21.43,26.61,43.64,51.87
1,Alabama,19-5012,220,24.56,16.74,22.43,33.94,40.28
1,Alabama,21-0000,20220,21.89,13.52,17.48,28.23,30.8
1,Alabama,21-1012,3830,28.49,17.95,22.43,29.85,36.68
1,Alabama,21-1013,310,21.55,16.37,17.96,24.07,29.89
1,Alabama,21-1015,710,19.84,11.6,14.54,27.27,31.58
1,Alabama,21-1018,2770,18.67,14.15,17.58,23.45,29.39
1,Alabama,21-1019,40,28.83,9.17,18.43,31.36,31.61
1,Alabama,21-1021,3510,20.33,16.3,17.82,25.31,30.06
1,Alabama,21-1022,2360,23.58,17.07,18.77,29.15,30.56
1,Alabama,21-1023,850,17.6,11.03,13.97,22.42,24.65
1,Alabama,21-1029,390,34.28,18.12,29.09,39.73,42.35
1,Alabama,21-1091,460,24.39,17.83,19.36,30.17,38.35
1,Alabama,21-1092,1030,22.98,17.12,19.36,28.63,33.18
1,Alabama,21-1093,2880,14.12,8.7,11.14,17.6,18.89
1,Alabama,21-1094,350,22.62,13.96,17.66,23.68,30.11
1,Alabama,21-1099,70,23.05,14.04,21.18,23.38,29.39
1,Alabama,21-2011,540,22.71,11.79,17.73,28.55,34.8
1,Alabama,21-2021,110,22.18,17.32,17.64,22.47,28.48
1,Alabama,23-0000,10900,35.3,17.54,22.62,58.7,81.37
1,Alabama,23-1011,5910,53.24,28.82,37.5,77.46,#
1,Alabama,23-1021,70,84.28,34.9,50.2,88.12,88.12
1,Alabama,23-1022,40,34.03,18.54,22.6,36.71,49.38
