area,area_title,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
1,Alabama,00-0000,1974170,16.73,8.78,11.06,26.34,39.26
1,Alabama,11-0000,83760,45.03,22.72,31.8,63.07,90.16
1,Alabama,11-1011,1320,86.91,32.99,55.34,#,#
1,Alabama,11-1021,30790,47.42,23.19,31.91,70.48,#
1,Alabama,11-1031,1110,*,*,*,*,*
1,Alabama,11-2011,70,55.1,18.83,24.49,70.46,78.43
1,Alabama,11-2021,1040,50.3,27.22,36.46,73.22,93.68
1,Alabama,11-2022,2670,48.6,27.19,34.55,65.84,89.31
1,Alabama,11-2030,510,36.56,21.63,27.08,49.45,66.81
1,Alabama,11-3010,1050,45.71,25.83,34.45,59.16,73.83
1,Alabama,11-3021,3650,58.33,37.11,45.87,75.47,93.63
1,Alabama,11-3031,5480,55.08,32.3,41.84,73.51,#
1,Alabama,11-3051,3320,49.61,30.74,39.58,62.87,79.52
1,Alabama,11-3061,880,51.99,31.12,40.05,61.09,73.21
1,Alabama,11-3071,1250,39.26,18.8,28.71,54.27,69.77
1,Alabama,11-3111,60,47.92,21.92,32.4,62.52,92.79
1,Alabama,11-3121,1440,46.76,31.6,38.4,59.81,77.85
1,Alabama,11-3131,210,46.25,31.73,36.69,61.24,75.78
1,Alabama,11-9021,3650,42.49,26.79,33.14,57.21,74.92
1,Alabama,11-9031,470,18.07,12.08,14.19,27.96,41.25
1,Alabama,11-9032,3630,*,*,*,*,*
1,Alabama,11-9033,**,43.78,26.13,32.38,60.88,91.52
1,Alabama,11-9041,2340,66.32,40.76,54.35,80.63,96.25
1,Alabama,11-9051,2690,25.64,16.93,20.53,34.24,44.64
1,Alabama,11-9081,490,25.59,14.19,17.51,30.51,37.57
1,Alabama,11-9111,**,39.89,26.04,31.9,51.73,70.19
1,Alabama,11-9121,200,53.13,35.18,42.92,64.94,80.22
1,Alabama,11-9131,280,37.56,33.19,34.57,41.87,44.54
1,Alabama,11-9141,1750,25.31,15.72,19.6,33.58,47.7
1,Alabama,11-9151,**,28.95,17.29,21.71,38.07,47.3
1,Alabama,11-9161,220,31.92,17.07,23.5,44.52,64.6
1,Alabama,11-9171,220,34.02,19.89,23.93,45.29,57.75
1,Alabama,11-9198,2170,49.11,25.28,35.23,61.1,76.75
1,Alabama,13-0000,78600,31.45,18.02,23.58,43,55.88
1,Alabama,13-1020,6440,30.4,17.76,22.79,41.87,50.97
1,Alabama,13-1031,4160,32.24,20.21,24.48,38.14,44.59
1,Alabama,13-1032,240,28.42,19.35,24.05,33.51,39.63
1,Alabama,13-1041,2140,30.22,17.31,23.13,41.16,50.34
1,Alabama,13-1051,2180,26.88,17.19,21.4,35.5,46.88
1,Alabama,13-1071,6100,27.82,17.13,21.63,35.92,45.65
1,Alabama,13-1075,890,21.69,7.95,8.63,33.52,40.32
1,Alabama,13-1081,4060,42.92,23.5,31.55,51.7,59.4
1,Alabama,13-1111,4630,41.16,24.11,31.34,52.8,73.36
1,Alabama,13-1121,720,21.78,14.85,17.37,27.24,31.86
1,Alabama,13-1131,650,22.68,15.11,17.76,29.46,37.53
1,Alabama,13-1141,590,27.92,16.23,21.43,35.34,43.8
1,Alabama,13-1151,2520,29.21,15.62,21.71,37.76,48.87
1,Alabama,13-1161,4410,25.87,15.33,20.3,35.65,47.69
1,Alabama,13-1198,7580,39.42,24.3,30.41,51.2,63.24
1,Alabama,13-2011,17400,30.67,20.38,24.97,40.91,53.01
1,Alabama,13-2020,900,25.09,9.37,16.86,35.35,47.57
1,Alabama,13-2031,860,40.64,22.39,30.42,50.27,57.81
1,Alabama,13-2041,510,35.52,20.37,26.53,47.41,61.48
