area,area_title,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
1,Alabama,00-0000,2053090,19.88,10.87,14.22,30.09,46.18
1,Alabama,11-0000,105580,47.95,24.38,35.18,67.22,95.44
1,Alabama,11-1011,720,79.48,31.59,59.6,102.01,#
1,Alabama,11-1021,34450,49.67,23.11,34.74,78.25,112.54
1,Alabama,11-1031,1140,*,*,*,*,*
1,Alabama,11-2011,70,50.37,36.77,39.88,64.03,71.21
1,Alabama,11-2021,1490,54.55,31.53,39.16,78.95,105.92
1,Alabama,11-2022,3650,56.61,31.89,41,79.38,107.41
1,Alabama,11-2032,**,44.04,24.24,39.54,51.09,79.56
1,Alabama,11-2033,160,39.73,22.84,28.06,46.18,58.99
1,Alabama,11-3012,480,53.36,36.89,43.18,70.18,88.09
1,Alabama,11-3013,830,52.7,36.31,41.54,67.07,81.69
1,Alabama,11-3021,5800,63.86,38.53,50.07,81.57,99.74
1,Alabama,11-3031,5810,64.46,39.41,49.51,82.26,108.75
1,Alabama,11-3051,3110,54.56,34.31,41.74,71.85,89.52
1,Alabama,11-3061,1360,59.68,34.68,42.81,69.71,85.56
1,Alabama,11-3071,1240,47.83,29.51,38.32,63.16,83.93
1,Alabama,11-3111,140,50.14,34.58,38.19,62.03,86.33
1,Alabama,11-3121,1810,51.21,31.12,39.63,65.11,84.62
1,Alabama,11-3131,120,50.12,29.23,40.03,65.73,78.14
1,Alabama,11-9021,6440,45.77,29.39,36.33,60.8,77.29
1,Alabama,11-9031,550,22.29,15.84,17.73,27.52,37.25
1,Alabama,11-9032,3540,*,*,*,*,*
1,Alabama,11-9033,3290,48.68,30.33,37.92,65.12,106.57
1,Alabama,11-9039,2640,43.63,22.41,34.71,50.31,61.2
1,Alabama,11-9041,2970,76.18,47.87,60.72,85.5,106.73
1,Alabama,11-9051,4010,29.68,21.92,24.67,36.87,44.48
1,Alabama,11-9072,80,18.63,12.69,13.38,36.86,43.07
1,Alabama,11-9081,360,32.73,18.27,21.45,36.46,44.58
1,Alabama,11-9111,9290,41.63,29.08,35.95,51.77,69.55
1,Alabama,11-9121,210,54.08,39.23,43.8,64.01,83.37
1,Alabama,11-9131,280,42.72,39.48,39.9,46.4,50.12
1,Alabama,11-9141,2910,23.76,17.21,19.92,32.07,46.45
1,Alabama,11-9151,2060,29.8,18.45,24.22,39.48,50.77
1,Alabama,11-9161,200,30.87,17.72,23.79,41.95,56.47
1,Alabama,11-9171,370,35.29,26.78,29.16,46.46,49.69
1,Alabama,11-9199,3290,51.35,25.92,35.74,66.51,84.9
1,Alabama,13-0000,105480,34.39,19.8,24.97,47.16,61.71
1,Alabama,13-1020,8600,31.52,19.3,24.63,43.76,55.11
1,Alabama,13-1031,4940,37.41,22.45,27.83,45.13,47.82
1,Alabama,13-1041,3270,31.4,18.53,24.08,41.93,53.8
1,Alabama,13-1051,2570,29.61,20.09,23.73,38.86,50.36
1,Alabama,13-1071,10620,28.9,18.35,22.39,38.43,49.16
1,Alabama,13-1075,530,16.47,8.65,9.06,40.03,65.87
1,Alabama,13-1081,5650,43.97,26.09,33.96,54.08,63.91
1,Alabama,13-1082,**,48.86,27.79,37.63,62.93,80.83
1,Alabama,13-1111,5830,47.55,28.58,36.79,62.27,89.09
1,Alabama,13-1121,990,22.77,15.4,18.71,28.51,34.81
1,Alabama,13-1131,950,25.93,16.54,19.89,32.45,39.83
1,Alabama,13-1141,780,31.88,20.86,25.5,39.42,51.25
1,Alabama,13-1151,2740,29.56,18.24,22.64,40,53.73
1,Alabama,13-1161,7220,27.75,15.34,20.47,39.24,54.79
1,Alabama,13-1199,6880,45.5,28.59,35.71,58.99,75.83
1,Alabama,13-2011,24930,31.7,21.96,25.69,42.21,57.26
1,Alabama,13-2020,680,25.48,13.34,17.97,37.02,46.08
1,Alabama,13-2031,1030,45.29,26.93,35.69,54.08,63.91
1,Alabama,13-2041,470,39.84,23.15,27.43,54.04,63.16
1,Alabama,13-2051,2250,40.86,28.14,35.43,54.48,74.51
1,Alabama,13-2052,2050,*,*,*,*,*
1,Alabama,13-2053,1110,29.92,22.13,27.18,43.69,52.76
1,Alabama,13-2054,210,47.68,25.63,35,60.78,77.55
1,Alabama,13-2061,800,38.06,23.61,29.05,48.79,61.62
1,Alabama,13-2071,110,18.34,12.98,15.87,20.5,23.56
1,Alabama,13-2072,5780,29.87,18.52,22.88,45.55,66.13
1,Alabama,13-2081,990,24.09,15.35,18.96,37.02,45.15
1,Alabama,13-2082,500,14.09,13.19,13.6,15.73,21.66
1,Alabama,13-2099,490,39.82,22.43,28.79,51.76,64.51
1,Alabama,15-0000,54910,43.09,22.31,30.78,59.6,73.65
