area,state,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
1,Alabama,00-0000,1819390,11.37,6.37,7.89,18.13,26.94
1,Alabama,11-0000,103720,27.93,12.59,18.48,40.33,56.54
1,Alabama,11-1011,5340,56.3,21.61,35.21,#,#
1,Alabama,11-1021,31660,28.53,13.03,18.8,43.53,65.57
1,Alabama,11-1031,1730,6.64,5.68,6.05,7.51,9.73
1,Alabama,11-2011,770,20.33,11.34,14.67,30.27,43.39
1,Alabama,11-2021,1590,31.16,16.26,21.64,42.92,57.64
1,Alabama,11-2022,4630,27.03,14.28,18.23,39.02,54.99
1,Alabama,11-2031,660,21.35,12.51,14.85,30.36,43.38
1,Alabama,11-3011,3310,21.75,10.91,14.5,31.26,41.8
1,Alabama,11-3021,3200,33.72,18.25,24.54,41.96,50.63
1,Alabama,11-3031,6820,27.73,15.83,20.47,38.23,49.99
1,Alabama,11-3040,2560,25.69,15.02,19.4,33.84,43.22
1,Alabama,11-3051,2740,28.2,16.96,21.58,37.21,46.88
1,Alabama,11-3061,1420,25.49,13.05,17.66,35.87,46.57
1,Alabama,11-3071,1550,24.86,14.52,18.49,32.62,40.82
1,Alabama,11-9011,60,20.23,14.64,16.72,28.23,41.33
1,Alabama,11-9021,3950,27.22,17.6,21.13,35.47,44.58
1,Alabama,11-9031,360,14.65,9.5,11.12,25.53,64.03
1,Alabama,11-9032,2850,*,*,*,*,*
1,Alabama,11-9033,2670,29.84,15.7,20.58,42.9,59.1
1,Alabama,11-9041,3830,42.11,27.55,34.32,50.28,58.02
1,Alabama,11-9051,4790,14.16,9.19,11.09,18.76,24.99
1,Alabama,11-9061,350,14.91,10.41,12.4,20.31,26.64
1,Alabama,11-9081,510,13.9,9.8,11.52,19.78,22.73
1,Alabama,11-9111,3140,27.97,17.1,22.59,35.53,45.82
1,Alabama,11-9121,360,36.58,21.83,29.47,46.8,55.18
1,Alabama,11-9131,520,23.59,17.3,19.98,26.76,31.41
1,Alabama,11-9141,1730,15.05,7.75,11.29,21.29,31.99
1,Alabama,11-9151,960,16.26,10.6,12.76,22.35,30.24
1,Alabama,13-0000,52540,21.32,11.41,15.31,29.07,37.07
1,Alabama,13-1021,160,17.61,9.31,12.96,26.55,33.72
1,Alabama,13-1022,1170,16.02,9.23,12.07,21.13,29.3
1,Alabama,13-1023,3940,22.07,12.43,15.83,29.13,35.53
1,Alabama,13-1031,2220,19.78,12.25,14.89,26.54,33.99
1,Alabama,13-1041,1570,17.96,12.31,14.41,22.84,28.91
1,Alabama,13-1051,2570,20.91,11.94,15.81,27.11,34.07
1,Alabama,13-1061,170,15.25,9.12,11.47,22.08,27.62
1,Alabama,13-1071,1460,17.69,9.85,12.19,23.75,30.11
1,Alabama,13-1072,1190,19.59,11.53,15.25,24,26.87
1,Alabama,13-1073,2160,18.9,10.65,13.74,24.71,30.78
1,Alabama,13-1111,3290,28.65,17.73,23.03,36.67,50.61
1,Alabama,13-1121,170,14.84,10.11,12.29,20.1,25.5
1,Alabama,13-2011,9340,20.21,12.55,15.78,26.51,34.27
1,Alabama,13-2021,1000,21.16,9.58,12.89,30.85,33.85
1,Alabama,13-2031,660,25.11,16.03,19.86,30.85,36.95
1,Alabama,13-2041,570,18,13.01,15.48,22.39,30.89
1,Alabama,13-2051,1020,24.78,15.54,18.99,32.07,40.16
1,Alabama,13-2052,940,26.25,12.82,17.53,35.29,54.89
1,Alabama,13-2053,640,20.87,12.64,16.26,27.94,38.21
1,Alabama,13-2061,150,26.68,14.28,19.18,38.38,47.09
1,Alabama,13-2071,80,13.35,11.03,12.23,14.77,19.69
1,Alabama,13-2072,3720,17,11.9,13.62,23.39,32.39
1,Alabama,13-2081,1170,19.9,8.23,10.84,28.04,32.71
1,Alabama,13-2082,**,7.6,5.54,6.09,10.45,17.05
1,Alabama,15-0000,29120,26.07,14.21,18.78,34.12,42.61
1,Alabama,15-1011,520,37.26,21.06,26.97,46.07,54.68
1,Alabama,15-1021,5290,25.76,14.86,18.96,35.31,52.75
1,Alabama,15-1031,2830,32.96,20.11,26.42,39.39,44.66
1,Alabama,15-1032,2010,32.59,20.95,26.38,40.32,46.45
1,Alabama,15-1041,5530,17.85,10.63,13.82,23.69,29.08
1,Alabama,15-1051,6180,29.03,17.54,22.7,34.37,41.15
1,Alabama,15-1061,840,23.49,13.92,17.69,30.9,37.92
1,Alabama,15-1071,2120,23.47,15.61,18.89,30.01,36.26
1,Alabama,15-1081,770,26.35,15.16,19.56,34.62,40.99
1,Alabama,15-2011,80,34.68,20.91,25.23,49.15,66.36
1,Alabama,15-2031,1070,28.04,15.45,20.4,35.35,42.22
1,Alabama,15-2041,130,18.69,10.88,13.67,25.2,32.04
1,Alabama,17-0000,36220,25.84,12.1,17.93,35.33,43.09
1,Alabama,17-1011,880,25.53,17.62,19.88,33.65,42.55
1,Alabama,17-1012,70,22.02,11.95,16.61,27.29,33.27
1,Alabama,17-1021,**,20.09,13.8,16.47,25.19,32.26
1,Alabama,17-1022,1180,12.25,7.69,9.12,18.12,21.53
1,Alabama,17-2011,2450,35.37,22.84,27.95,41.52,49.52
1,Alabama,17-2021,**,37.38,30.24,32.86,53.74,58.1
1,Alabama,17-2031,60,22.83,11.66,15.46,34.41,41.77
1,Alabama,17-2041,450,34.82,23.4,29.24,42.2,50.78
1,Alabama,17-2051,3120,25.59,16.03,19.57,33.27,41.46
1,Alabama,17-2061,800,37.44,22.76,30,44.3,53.18
1,Alabama,17-2071,2330,31.37,19.68,25.16,37.65,43.62
1,Alabama,17-2072,1260,36.52,23.07,29.65,42.08,49.22
1,Alabama,17-2081,640,28.32,17.55,21.34,34.75,41.5
1,Alabama,17-2111,650,26.77,18.94,22.84,31.88,37.76
1,Alabama,17-2112,1880,28.34,18.06,23.03,34.86,41.88
1,Alabama,17-2131,350,34.08,21.8,26.51,40.48,47.82
1,Alabama,17-2141,2680,30.24,18.93,24.07,37.2,44.54
1,Alabama,17-2151,70,26.58,16.2,21.85,32.8,37.86
1,Alabama,17-2171,70,29.94,11.79,13.08,40.13,47.06
1,Alabama,17-3011,1430,15.95,9.78,12.43,19.82,24.64
1,Alabama,17-3012,390,22.02,12.11,15.53,28.11,33.74
1,Alabama,17-3013,990,18.18,10.98,13.86,24,30.66
1,Alabama,17-3021,150,21.98,15.83,18.18,26.99,33.79
1,Alabama,17-3022,1410,13.81,9.09,10.74,16.62,22.4
1,Alabama,17-3023,3300,21.71,12.65,17.28,25.58,28.62
1,Alabama,17-3024,420,14.31,10.04,11.12,21.47,27.45
1,Alabama,17-3025,240,15.3,8.17,10.48,23.42,28.97
1,Alabama,17-3026,430,17.15,10.35,13.11,21.72,27.42
1,Alabama,17-3027,510,17.24,10.88,12.99,23.45,27.83
1,Alabama,17-3031,**,11.56,7.3,8.6,14.8,17.85
1,Alabama,19-0000,10670,19.48,11.16,14.45,26.68,35.76
1,Alabama,19-1010,90,22.3,15.35,17.43,29.8,33.74
1,Alabama,19-1021,**,22.55,14.04,16.11,31.49,41.73
1,Alabama,19-1022,170,20.59,12.79,17.01,25.21,30.91
1,Alabama,19-1023,**,22.91,15.91,18.83,29.1,34.22
1,Alabama,19-1031,100,26.86,17.79,22.88,31.31,33.99
1,Alabama,19-1032,260,22.77,12.35,17.81,31.13,35.55
1,Alabama,19-1042,140,24.15,13.15,18.62,29.23,43.92
1,Alabama,19-2012,180,37.06,27.44,30.9,43.26,51.84
1,Alabama,19-2021,90,19.06,12.75,14.84,31.38,38.32
1,Alabama,19-2031,850,22.41,13.33,16.88,32.28,41.44
1,Alabama,19-2032,80,23.3,15.55,17.74,36.71,43.34
1,Alabama,19-2041,1140,19.35,13.22,15.82,24.11,29.03
1,Alabama,19-2042,170,22.36,17.96,19.68,27.07,35.67
1,Alabama,19-2043,40,27.4,20.07,23.28,32.62,38.33
1,Alabama,19-3011,**,29.11,18.08,20.51,35.67,42.77
1,Alabama,19-3021,560,28.8,15.22,19.81,38.71,48.7
1,Alabama,19-3022,160,10.57,7.02,8.11,18.14,23.31
1,Alabama,19-3031,570,20.44,10.9,14.96,26.26,35.85
1,Alabama,19-3051,340,20.79,11.49,15.24,25.69,30.48
1,Alabama,19-3091,**,14.81,11.14,12.23,21.01,29.34
1,Alabama,19-3093,30,20.94,12.83,15.3,31.79,37.84
1,Alabama,19-4021,500,13.66,9.3,11.37,16.83,20.98
1,Alabama,19-4031,680,18.47,10.87,13.75,21.67,28.52
1,Alabama,19-4041,120,17.94,14.39,15.88,25.53,32.99
1,Alabama,19-4091,270,18.87,10.29,13.17,29.07,35.75
1,Alabama,19-4092,160,18.96,13.15,15.64,25.35,32.81
1,Alabama,19-4093,330,13.1,9.04,9.97,16.57,19.94
1,Alabama,21-0000,14800,13.75,8.12,10.43,18.73,22.72
