area,state,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
1,Alabama,00-0000,1830360,11.76,6.41,8.13,18.48,27.20
1,Alabama,11-0000,81040,31.73,15.63,22.35,44.65,65.81
1,Alabama,11-1011,3880,64.69,24.11,42.03,#,#
1,Alabama,11-1021,25990,34.29,17.10,23.20,52.51,#
1,Alabama,11-1031,1590,*,*,*,*,*
1,Alabama,11-2011,560,22.57,13.21,16.52,31.96,43.35
1,Alabama,11-2021,1460,32.67,18.77,24.38,45.05,61.56
1,Alabama,11-2022,2960,34.00,16.12,23.00,47.81,66.97
1,Alabama,11-2031,650,25.59,13.27,16.49,34.29,44.68
1,Alabama,11-3011,2290,25.84,14.03,18.37,34.72,45.61
1,Alabama,11-3021,2690,36.92,21.14,28.77,44.73,54.10
1,Alabama,11-3031,5550,32.12,19.08,24.67,42.25,55.59
1,Alabama,11-3041,560,26.32,16.80,20.42,34.96,45.99
1,Alabama,11-3042,300,26.07,15.47,19.27,34.32,43.53
1,Alabama,11-3049,930,31.79,21.41,25.69,39.90,49.42
1,Alabama,11-3051,2330,30.03,18.11,22.81,39.60,51.38
1,Alabama,11-3061,810,32.96,18.64,24.32,42.43,51.84
1,Alabama,11-3071,990,27.22,15.53,20.32,36.01,44.17
1,Alabama,11-9011,40,22.05,14.66,17.20,27.60,33.55
1,Alabama,11-9021,4030,28.61,19.00,22.88,37.50,46.91
1,Alabama,11-9031,540,16.24,10.14,12.03,29.38,63.87
1,Alabama,11-9032,2730,*,*,*,*,*
1,Alabama,11-9033,2840,29.48,17.32,21.73,40.58,53.40
1,Alabama,11-9039,430,29.80,16.51,22.54,34.94,40.82
1,Alabama,11-9041,2720,44.60,28.98,36.03,53.91,64.75
1,Alabama,11-9051,2180,18.52,11.41,13.66,24.55,31.70
1,Alabama,11-9061,450,18.27,10.97,13.05,23.73,33.46
1,Alabama,11-9081,430,14.52,9.60,11.33,22.02,28.63
1,Alabama,11-9111,2700,30.66,20.83,24.92,39.77,53.75
1,Alabama,11-9121,230,41.93,28.84,33.03,52.79,64.76
1,Alabama,11-9131,520,24.63,17.74,21.95,27.44,32.49
1,Alabama,11-9141,1590,19.25,12.37,14.90,30.28,40.70
1,Alabama,11-9151,1030,20.07,12.42,15.02,27.09,34.41
1,Alabama,11-9199,5040,36.63,21.10,27.40,44.42,54.29
1,Alabama,13-0000,54370,22.10,12.03,16.07,30.48,39.66
1,Alabama,13-1011,30,13.96,7.78,10.60,28.61,47.49
1,Alabama,13-1021,160,19.05,12.17,14.68,26.82,34.38
1,Alabama,13-1022,1100,16.25,9.63,12.35,21.69,27.65
1,Alabama,13-1023,4260,22.72,12.91,16.61,31.47,40.17
1,Alabama,13-1031,2250,20.43,12.45,15.43,27.06,34.21
1,Alabama,13-1032,110,21.40,13.99,18.46,26.79,32.24
1,Alabama,13-1041,1680,19.73,12.59,16.20,24.74,29.95
1,Alabama,13-1051,2090,20.95,12.28,16.31,27.27,34.20
1,Alabama,13-1061,370,15.99,12.34,14.16,19.67,26.22
1,Alabama,13-1071,1060,17.23,10.27,13.42,23.81,32.38
1,Alabama,13-1072,1240,20.59,13.54,16.62,24.67,27.32
1,Alabama,13-1073,2530,19.01,11.32,14.08,24.49,30.50
1,Alabama,13-1079,2130,16.16,5.85,6.58,23.70,32.39
1,Alabama,13-1081,410,28.76,15.44,22.24,36.10,46.84
1,Alabama,13-1111,3440,29.41,15.87,22.74,37.65,46.76
1,Alabama,13-1121,200,14.90,8.84,11.13,17.37,27.77
1,Alabama,13-1199,7620,29.69,14.96,21.82,37.06,43.37
1,Alabama,13-2011,11000,21.70,13.67,17.05,28.38,39.67
1,Alabama,13-2021,860,22.42,11.75,15.29,32.14,35.73
1,Alabama,13-2031,660,26.83,17.71,21.73,32.78,39.33
1,Alabama,13-2041,610,20.45,14.36,16.19,27.19,37.79
1,Alabama,13-2051,1020,28.39,17.43,22.20,33.28,40.67
1,Alabama,13-2052,1000,29.73,13.42,18.72,51.05,#
1,Alabama,13-2053,660,21.62,13.02,15.93,28.84,35.82
1,Alabama,13-2061,190,26.22,16.87,20.05,41.54,50.38
1,Alabama,13-2071,**,12.31,10.20,11.29,13.33,15.42
1,Alabama,13-2072,4430,19.52,12.94,15.50,28.36,37.28
1,Alabama,13-2081,1100,21.90,10.19,14.71,29.65,33.94
1,Alabama,13-2082,910,8.80,6.09,6.99,10.93,15.57
1,Alabama,13-2099,970,21.11,11.54,14.54,27.21,33.76
1,Alabama,15-0000,29310,27.20,13.87,19.15,36.50,44.80
1,Alabama,15-1011,370,43.37,26.02,35.89,52.41,58.65
1,Alabama,15-1021,4550,26.85,14.76,19.22,37.34,56.40
1,Alabama,15-1031,3430,34.58,20.83,27.34,41.61,46.72
1,Alabama,15-1032,2270,36.54,23.77,29.11,44.26,52.49
1,Alabama,15-1041,5250,16.36,8.80,11.52,21.65,27.85
1,Alabama,15-1051,6800,30.94,19.04,24.24,37.84,43.88
1,Alabama,15-1061,770,24.27,14.75,18.59,31.64,39.79
1,Alabama,15-1071,2420,24.58,16.19,19.58,31.03,37.72
1,Alabama,15-1081,1310,23.97,15.36,18.96,30.90,39.12
1,Alabama,15-1099,1150,21.22,11.13,14.91,33.31,44.20
1,Alabama,15-2011,**,33.89,20.89,25.44,50.43,#
1,Alabama,15-2031,820,30.57,15.04,19.97,40.72,49.34
1,Alabama,15-2041,70,25.89,17.40,20.41,33.19,42.32
1,Alabama,17-0000,36220,27.16,13.24,19.04,37.63,46.27
1,Alabama,17-1011,1070,27.89,18.23,21.01,35.78,43.86
1,Alabama,17-1012,70,29.74,17.25,23.83,34.69,40.05
1,Alabama,17-1021,190,21.33,12.77,17.20,25.98,31.40
1,Alabama,17-1022,1010,16.23,8.73,11.91,20.57,26.11
1,Alabama,17-2011,1930,41.19,26.17,34.37,49.08,54.63
1,Alabama,17-2031,30,21.47,11.34,17.83,30.57,34.97
1,Alabama,17-2041,570,35.01,23.72,28.52,42.90,51.84
1,Alabama,17-2051,2980,26.80,17.60,20.62,34.67,42.29
1,Alabama,17-2061,950,40.04,23.64,32.23,48.97,54.89
1,Alabama,17-2071,3360,35.54,23.74,29.02,41.46,45.90
1,Alabama,17-2072,1710,37.42,23.71,29.24,44.59,52.70
1,Alabama,17-2081,790,30.82,18.57,22.60,40.05,51.66
1,Alabama,17-2111,330,27.33,18.97,21.38,37.36,44.18
1,Alabama,17-2112,1960,28.54,19.15,23.48,36.29,45.39
1,Alabama,17-2131,390,34.47,22.29,26.64,42.31,49.39
1,Alabama,17-2141,2440,31.79,19.35,24.35,39.39,45.47
1,Alabama,17-2151,70,28.13,16.85,23.10,35.15,41.80
1,Alabama,17-2171,50,16.80,12.02,12.92,32.96,45.48
1,Alabama,17-2199,2950,40.69,22.38,32.18,49.16,54.98
1,Alabama,17-3011,1280,16.74,11.07,13.97,20.93,26.50
1,Alabama,17-3012,910,22.86,14.54,16.93,27.53,33.88
1,Alabama,17-3013,950,18.70,11.73,14.61,25.39,32.60
1,Alabama,17-3019,490,16.49,9.97,12.79,20.63,26.10
1,Alabama,17-3021,170,29.13,16.68,22.61,38.56,43.68
1,Alabama,17-3022,1780,13.54,9.19,10.59,16.71,20.81
1,Alabama,17-3023,3540,23.45,13.90,18.72,27.02,31.84
1,Alabama,17-3024,160,23.91,12.73,15.93,28.04,33.34
1,Alabama,17-3025,290,17.05,9.38,11.72,24.73,29.60
1,Alabama,17-3026,530,18.07,12.32,14.66,21.64,26.89
1,Alabama,17-3027,440,19.67,11.69,14.88,25.69,31.82
1,Alabama,17-3029,1250,25.09,12.36,17.41,30.43,33.99
1,Alabama,17-3031,1170,11.78,7.83,9.26,14.83,18.84
1,Alabama,19-0000,10330,20.58,11.72,14.76,29.23,39.96
1,Alabama,19-1012,60,18.20,12.11,14.12,21.14,26.97
1,Alabama,19-1013,80,24.87,15.13,17.18,32.63,38.34
1,Alabama,19-1021,130,30.59,16.07,20.35,42.40,52.62
1,Alabama,19-1022,140,21.28,12.68,15.94,26.62,32.64
1,Alabama,19-1023,80,25.47,17.29,19.92,31.67,36.52
1,Alabama,19-1029,170,25.54,13.01,17.57,33.28,43.21
1,Alabama,19-1031,100,29.35,18.35,23.60,33.69,39.15
1,Alabama,19-1032,300,22.40,13.47,16.44,30.16,34.29
1,Alabama,19-1042,130,19.96,12.70,15.22,26.87,39.50
1,Alabama,19-1099,30,18.46,14.79,16.12,21.37,28.85
1,Alabama,19-2012,170,45.56,28.84,37.69,53.14,61.04
1,Alabama,19-2021,140,33.35,16.37,23.51,41.76,55.22
1,Alabama,19-2031,730,24.67,13.26,17.50,36.35,43.69
