area,area_title,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
1,Alabama,00-0000,1903210,17.43,8.98,11.57,27.39,41.07
1,Alabama,11-0000,87110,45.73,22.95,32.37,64.58,91.89
1,Alabama,11-1011,1160,77.55,23.79,47.08,#,#
1,Alabama,11-1021,31170,48.64,23.09,32.57,73.58,#
1,Alabama,11-1031,1150,*,*,*,*,*
1,Alabama,11-2011,70,51.46,18.33,25.87,71.42,88.58
1,Alabama,11-2021,1170,51.23,28.57,37.49,76.84,99.87
1,Alabama,11-2022,2960,48.22,27.83,35.35,65.56,90.19
1,Alabama,11-2030,570,38.18,22,26.79,51.92,69.29
1,Alabama,11-3010,1170,48.79,26.78,36,63.39,80.25
1,Alabama,11-3021,4000,59.24,36.47,46.02,76.23,92.27
1,Alabama,11-3031,5610,56.21,33.79,43.07,74.6,#
1,Alabama,11-3051,3070,50.87,31.73,40.55,65.66,83.18
1,Alabama,11-3061,1000,54.35,32.74,41.23,63.83,76.31
1,Alabama,11-3071,1250,43.84,25.49,34.3,56.39,72.85
1,Alabama,11-3111,80,51.46,22.72,35.6,65.67,85.18
1,Alabama,11-3121,1500,48.97,31.82,40.65,62.49,81.03
1,Alabama,11-3131,210,46.22,30.33,36.41,61.19,75.49
1,Alabama,11-9021,4210,42.27,26.94,32.93,56.53,74.14
1,Alabama,11-9031,400,19.86,13.25,15.4,33.06,45.75
1,Alabama,11-9032,3110,*,*,*,*,*
1,Alabama,11-9033,3180,44.24,26.42,33.04,62.1,92.87
1,Alabama,11-9041,2360,69.46,45.42,57.01,85.62,#
1,Alabama,11-9051,2440,26.2,16.86,20.29,35.25,45.41
1,Alabama,11-9081,430,27.8,14.66,18.73,32.66,43.88
1,Alabama,11-9111,6530,39.71,26.48,32.17,51.13,69.09
1,Alabama,11-9121,190,54.1,33.57,44.26,65.65,83.16
1,Alabama,11-9131,280,38.42,34.08,35.54,42.99,45.91
1,Alabama,11-9141,1930,22.8,12.45,16.93,30.46,42.63
1,Alabama,11-9151,1600,28.85,16.9,21.67,37.48,47.42
1,Alabama,11-9161,220,31.95,16.75,22.45,45.31,63.57
1,Alabama,11-9171,240,32.18,21.72,26.19,40.74,54.35
1,Alabama,11-9198,2280,49.26,25.98,34.62,63.6,79.6
1,Alabama,13-0000,81600,31.99,18.2,23.77,44.31,57.44
1,Alabama,13-1020,6740,31.19,17.82,22.87,44.06,53.57
1,Alabama,13-1031,4110,33.43,20.47,24.82,39.58,46.6
1,Alabama,13-1032,190,31.43,23.89,27.49,38.06,44.8
1,Alabama,13-1041,2360,31.61,17.23,23.95,43.28,53.27
1,Alabama,13-1051,2170,27.74,17.89,22.08,36.95,48.91
1,Alabama,13-1071,6470,28.42,17.36,21.89,37.16,47.24
1,Alabama,13-1075,750,27.1,8.01,8.84,37.2,48.39
1,Alabama,13-1081,4400,41.94,21.5,30.54,52.89,58.94
1,Alabama,13-1111,4640,43.45,25.65,33.06,55.35,76.42
1,Alabama,13-1121,710,22.34,14.88,17.66,27.9,32.22
1,Alabama,13-1131,650,23.14,13.91,17.79,30.05,38.28
1,Alabama,13-1141,620,28.76,17.19,22.33,35.91,43.95
1,Alabama,13-1151,2650,30.44,15.99,22.46,39.08,54.03
1,Alabama,13-1161,4840,26.45,15.11,20.25,36.69,51.62
1,Alabama,13-1198,7270,40.58,25.01,31.07,52.89,64.52
1,Alabama,13-2011,18710,30.79,20.34,24.7,40.99,52.98
1,Alabama,13-2020,900,26.47,9.19,17.43,36.51,47.47
1,Alabama,13-2031,910,41.25,24.22,31.17,51.38,59.64
1,Alabama,13-2041,460,35.53,19.53,25.53,47.19,59.58
1,Alabama,13-2052,1890,44.56,18.4,25.74,87.4,#
1,Alabama,13-2053,770,29.16,14.16,19.92,41.17,57.12
1,Alabama,13-2061,1400,24.54,16.37,18.49,37.35,50.78
1,Alabama,13-2071,150,22.41,14.33,17.42,27.17,30.64
1,Alabama,13-2072,4090,27.46,16.39,19.84,42.75,65.11
1,Alabama,13-2081,1040,27.49,16.42,20.8,36.14,41.81
1,Alabama,13-2082,440,16.76,10.03,11.64,21.35,24.19
1,Alabama,13-2098,2250,40.74,23.23,30.78,53.06,69.64
1,Alabama,15-0000,45070,39.06,20.73,28.15,52.81,67.94
1,Alabama,15-1211,4900,42.57,26.99,33.44,55.11,67.29
1,Alabama,15-1212,1900,39.3,21.16,28.72,53.27,65.94
1,Alabama,15-1221,380,58.93,37.24,49.18,69.41,82.08
1,Alabama,15-1231,1210,28.64,19.86,23.19,35.31,44.06
1,Alabama,15-1232,6700,23.02,14.53,18.03,29.41,37.07
1,Alabama,15-1241,1810,51.02,33.41,40.96,63.33,75.52
1,Alabama,15-1244,4400,35.76,21.71,27.87,44.98,55.38
1,Alabama,15-1245,2270,38.85,24.47,30.08,49.88,61.33
1,Alabama,15-1251,3870,40.3,24.53,31.13,51.21,65.65
1,Alabama,15-1256,13570,47.37,26.99,35.56,62.68,77.97
1,Alabama,15-1257,710,30.56,16.67,23.02,39.92,57.72
1,Alabama,15-1299,2280,42.46,21.18,31.81,51.18,58.94
1,Alabama,15-2011,80,53.34,33.12,39.76,72.78,#
1,Alabama,15-2031,560,49.57,26.4,34.86,62.19,74.69
1,Alabama,15-2041,210,29.58,20.45,24.49,36.09,46.91
1,Alabama,15-2098,210,43.55,27.17,35.8,50.79,58.59
1,Alabama,17-0000,45130,40.64,20.92,29.22,56.63,71.04
1,Alabama,17-1011,840,40.11,23.86,32.59,52.33,75.95
1,Alabama,17-1012,240,28.2,21.35,24.53,34.09,43.95
1,Alabama,17-1021,60,34.36,20.23,26.33,40.01,46.6
1,Alabama,17-1022,**,23.44,14.28,18.13,32.48,42.09
1,Alabama,17-2011,3610,58.84,33.94,45.51,69.64,81.82
1,Alabama,17-2021,40,43.87,27.7,34.25,48.64,52.98
1,Alabama,17-2031,120,41.46,29.82,34.86,48.71,56.55
