series_id                     ,year,period,       value,footnote_codes
LASST020000000000007          ,1988,M02,65.6,
LASST020000000000007          ,1988,M03,65.6,
LASST020000000000007          ,1988,M04,65.6,
LASST020000000000007          ,1988,M05,65.5,
LASST020000000000007          ,1988,M06,65.7,
LASST020000000000007          ,1988,M07,65.9,
LASST020000000000007          ,1988,M08,66.1,
LASST020000000000007          ,1988,M09,66.2,
LASST020000000000007          ,1988,M10,66.4,
LASST020000000000007          ,1988,M11,66.7,
LASST020000000000007          ,1988,M12,66.9,
LASST020000000000008          ,1988,M01,72.2,
LASST020000000000008          ,1988,M02,72.1,
LASST020000000000008          ,1988,M03,72.1,
LASST020000000000008          ,1988,M04,72.1,
LASST020000000000008          ,1988,M05,71.9,
LASST020000000000008          ,1988,M06,72.0,
LASST020000000000008          ,1988,M07,72.2,
LASST020000000000008          ,1988,M08,72.4,
LASST020000000000008          ,1988,M09,72.4,
LASST020000000000008          ,1988,M10,72.6,
LASST020000000000008          ,1988,M11,72.7,
LASST020000000000008          ,1988,M12,72.8,
LASST040000000000003          ,1988,M01,6.3,
LASST040000000000003          ,1988,M02,6.3,
LASST040000000000003          ,1988,M03,6.4,
LASST040000000000003          ,1988,M04,6.5,
LASST040000000000003          ,1988,M05,6.5,
LASST040000000000003          ,1988,M06,6.6,
LASST040000000000003          ,1988,M07,6.6,
LASST040000000000003          ,1988,M08,6.6,
LASST040000000000003          ,1988,M09,6.5,
LASST040000000000003          ,1988,M10,6.4,
LASST040000000000003          ,1988,M11,6.2,
LASST040000000000003          ,1988,M12,6.0,
LASST040000000000004          ,1988,M01,102502.0,
LASST040000000000004          ,1988,M02,103680.0,
LASST040000000000004          ,1988,M03,105006.0,
LASST040000000000004          ,1988,M04,106450.0,
LASST040000000000004          ,1988,M05,107830.0,
LASST040000000000004          ,1988,M06,108911.0,
LASST040000000000004          ,1988,M07,109534.0,
LASST040000000000004          ,1988,M08,109689.0,
LASST040000000000004          ,1988,M09,109270.0,
LASST040000000000004          ,1988,M10,107946.0,
LASST040000000000004          ,1988,M11,105704.0,
LASST040000000000004          ,1988,M12,102588.0,
LASST040000000000005          ,1988,M01,1532912.0,
LASST040000000000005          ,1988,M02,1534142.0,
LASST040000000000005          ,1988,M03,1535384.0,
LASST040000000000005          ,1988,M04,1537393.0,
LASST040000000000005          ,1988,M05,1541180.0,
LASST040000000000005          ,1988,M06,1546838.0,
LASST040000000000005          ,1988,M07,1554091.0,
LASST040000000000005          ,1988,M08,1562297.0,
LASST040000000000005          ,1988,M09,1570895.0,
LASST040000000000005          ,1988,M10,1579328.0,
LASST040000000000005          ,1988,M11,1587076.0,
LASST040000000000005          ,1988,M12,1594249.0,
LASST040000000000006          ,1988,M01,1635414.0,
LASST040000000000006          ,1988,M02,1637822.0,
LASST040000000000006          ,1988,M03,1640390.0,
LASST040000000000006          ,1988,M04,1643843.0,
LASST040000000000006          ,1988,M05,1649010.0,
LASST040000000000006          ,1988,M06,1655749.0,
