series_id                     ,year,period,       value,footnote_codes
LASST010000000000003          ,2010,M01,11.1,
LASST010000000000003          ,2010,M02,11.0,
LASST010000000000003          ,2010,M03,10.9,
LASST010000000000003          ,2010,M04,10.5,
LASST010000000000003          ,2010,M05,10.3,
LASST010000000000003          ,2010,M06,10.1,
LASST010000000000003          ,2010,M07,10.1,
LASST010000000000003          ,2010,M08,10.0,
LASST010000000000003          ,2010,M09,10.1,
LASST010000000000003          ,2010,M10,10.1,
LASST010000000000003          ,2010,M11,10.2,
LASST010000000000003          ,2010,M12,10.1,
LASST010000000000004          ,2010,M01,237112.0,
LASST010000000000004          ,2010,M02,236299.0,
LASST010000000000004          ,2010,M03,234363.0,
LASST010000000000004          ,2010,M04,231518.0,
LASST010000000000004          ,2010,M05,228021.0,
LASST010000000000004          ,2010,M06,224759.0,
LASST010000000000004          ,2010,M07,222755.0,
LASST010000000000004          ,2010,M08,222369.0,
LASST010000000000004          ,2010,M09,223322.0,
LASST010000000000004          ,2010,M10,224692.0,
LASST010000000000004          ,2010,M11,225351.0,
LASST010000000000004          ,2010,M12,224691.0,
LASST010000000000005          ,2010,M01,1906185.0,
LASST010000000000005          ,2010,M02,1909481.0,
LASST010000000000005          ,2010,M03,1912541.0,
LASST010000000000005          ,2010,M04,1966202.0,
LASST010000000000005          ,2010,M05,1983756.0,
LASST010000000000005          ,2010,M06,1990063.0,
LASST010000000000005          ,2010,M07,1992482.0,
LASST010000000000005          ,2010,M08,1993456.0,
LASST010000000000005          ,2010,M09,1993580.0,
LASST010000000000005          ,2010,M10,1993177.0,
LASST010000000000005          ,2010,M11,1992440.0,
LASST010000000000005          ,2010,M12,1991718.0,
LASST010000000000006          ,2010,M01,2143297.0,
LASST010000000000006          ,2010,M02,2145780.0,
LASST010000000000006          ,2010,M03,2146904.0,
LASST010000000000006          ,2010,M04,2197720.0,
LASST010000000000006          ,2010,M05,2211777.0,
LASST010000000000006          ,2010,M06,2214822.0,
LASST010000000000006          ,2010,M07,2215237.0,
LASST010000000000006          ,2010,M08,2215825.0,
LASST010000000000006          ,2010,M09,2216902.0,
LASST010000000000006          ,2010,M10,2217869.0,
LASST010000000000006          ,2010,M11,2217791.0,
LASST010000000000006          ,2010,M12,2216409.0,
LASST010000000000007          ,2010,M01,52.4,
LASST010000000000007          ,2010,M02,52.5,
LASST010000000000007          ,2010,M03,52.5,
LASST010000000000007          ,2010,M04,53.2,
LASST010000000000007          ,2010,M05,53.6,
LASST010000000000007          ,2010,M06,53.7,
LASST010000000000007          ,2010,M07,53.8,
LASST010000000000007          ,2010,M08,53.8,
LASST010000000000007          ,2010,M09,53.7,
LASST010000000000007          ,2010,M10,53.7,
LASST010000000000007          ,2010,M11,53.6,
LASST010000000000007          ,2010,M12,53.6,
LASST010000000000008          ,2010,M01,58.9,
LASST010000000000008          ,2010,M02,59.0,
LASST010000000000008          ,2010,M03,59.0,
LASST010000000000008          ,2010,M04,59.4,
LASST010000000000008          ,2010,M05,59.8,
LASST010000000000008          ,2010,M06,59.8,
LASST010000000000008          ,2010,M07,59.8,
LASST010000000000008          ,2010,M08,59.7,
LASST010000000000008          ,2010,M09,59.7,
LASST010000000000008          ,2010,M10,59.7,
LASST010000000000008          ,2010,M11,59.7,
LASST010000000000008          ,2010,M12,59.6,
LASST020000000000003          ,2010,M01,8.4,
LASST020000000000003          ,2010,M02,8.4,
LASST020000000000003          ,2010,M03,8.4,
LASST020000000000003          ,2010,M04,8.3,
LASST020000000000003          ,2010,M05,8.2,
LASST020000000000003          ,2010,M06,8.0,
LASST020000000000003          ,2010,M07,7.9,
LASST020000000000003          ,2010,M08,7.9,
LASST020000000000003          ,2010,M09,8.0,
LASST020000000000003          ,2010,M10,8.0,
LASST020000000000003          ,2010,M11,8.1,
