series_id                     ,year,period,       value,footnote_codes
LASST010000000000003          ,1983,M01,14.9,
LASST010000000000003          ,1983,M02,14.8,
LASST010000000000003          ,1983,M03,14.6,
LASST010000000000003          ,1983,M04,14.4,
LASST010000000000003          ,1983,M05,14.2,
LASST010000000000003          ,1983,M06,14.0,
LASST010000000000003          ,1983,M07,13.8,
LASST010000000000003          ,1983,M08,13.6,
LASST010000000000003          ,1983,M09,13.3,
LASST010000000000003          ,1983,M10,13.0,
LASST010000000000003          ,1983,M11,12.7,
LASST010000000000003          ,1983,M12,12.5,
LASST010000000000004          ,1983,M01,259360.0,
LASST010000000000004          ,1983,M02,257458.0,
LASST010000000000004          ,1983,M03,254492.0,
LASST010000000000004          ,1983,M04,251387.0,
LASST010000000000004          ,1983,M05,248687.0,
LASST010000000000004          ,1983,M06,246225.0,
LASST010000000000004          ,1983,M07,243463.0,
LASST010000000000004          ,1983,M08,240049.0,
LASST010000000000004          ,1983,M09,235851.0,
LASST010000000000004          ,1983,M10,230978.0,
LASST010000000000004          ,1983,M11,226045.0,
LASST010000000000004          ,1983,M12,221610.0,
LASST010000000000005          ,1983,M01,1478740.0,
LASST010000000000005          ,1983,M02,1479636.0,
LASST010000000000005          ,1983,M03,1482980.0,
LASST010000000000005          ,1983,M04,1489054.0,
LASST010000000000005          ,1983,M05,1497406.0,
LASST010000000000005          ,1983,M06,1507143.0,
LASST010000000000005          ,1983,M07,1517530.0,
LASST010000000000005          ,1983,M08,1527681.0,
LASST010000000000005          ,1983,M09,1536684.0,
LASST010000000000005          ,1983,M10,1543891.0,
LASST010000000000005          ,1983,M11,1549141.0,
LASST010000000000005          ,1983,M12,1553354.0,
LASST010000000000006          ,1983,M01,1738100.0,
LASST010000000000006          ,1983,M02,1737094.0,
LASST010000000000006          ,1983,M03,1737472.0,
LASST010000000000006          ,1983,M04,1740441.0,
LASST010000000000006          ,1983,M05,1746093.0,
LASST010000000000006          ,1983,M06,1753368.0,
LASST010000000000006          ,1983,M07,1760993.0,
LASST010000000000006          ,1983,M08,1767730.0,
LASST010000000000006          ,1983,M09,1772535.0,
LASST010000000000006          ,1983,M10,1774869.0,
LASST010000000000006          ,1983,M11,1775186.0,
LASST010000000000006          ,1983,M12,1774964.0,
LASST010000000000007          ,1983,M01,51.0,
LASST010000000000007          ,1983,M02,51.0,
LASST010000000000007          ,1983,M03,51.1,
LASST010000000000007          ,1983,M04,51.2,
LASST010000000000007          ,1983,M05,51.5,
LASST010000000000007          ,1983,M06,51.8,
LASST010000000000007          ,1983,M07,52.1,
LASST010000000000007          ,1983,M08,52.4,
LASST010000000000007          ,1983,M09,52.7,
LASST010000000000007          ,1983,M10,52.9,
LASST010000000000007          ,1983,M11,53.0,
LASST010000000000007          ,1983,M12,53.1,
LASST010000000000008          ,1983,M01,59.9,
LASST010000000000008          ,1983,M02,59.8,
LASST010000000000008          ,1983,M03,59.8,
LASST010000000000008          ,1983,M04,59.9,
LASST010000000000008          ,1983,M05,60.0,
LASST010000000000008          ,1983,M06,60.3,
LASST010000000000008          ,1983,M07,60.5,
LASST010000000000008          ,1983,M08,60.7,
LASST010000000000008          ,1983,M09,60.8,
LASST010000000000008          ,1983,M10,60.8,
LASST010000000000008          ,1983,M11,60.8,
LASST010000000000008          ,1983,M12,60.7,
LASST020000000000003          ,1983,M01,10.7,
LASST020000000000003          ,1983,M02,10.6,
LASST020000000000003          ,1983,M03,10.4,
LASST020000000000003          ,1983,M04,10.2,
LASST020000000000003          ,1983,M05,10.0,
LASST020000000000003          ,1983,M06,9.9,
LASST020000000000003          ,1983,M07,9.8,
LASST020000000000003          ,1983,M08,9.8,
LASST020000000000003          ,1983,M09,9.8,
LASST020000000000003          ,1983,M10,9.9,
LASST020000000000003          ,1983,M11,10.0,
LASST020000000000003          ,1983,M12,10.1,
LASST020000000000004          ,1983,M01,23846.0,
LASST020000000000004          ,1983,M02,23840.0,
LASST020000000000004          ,1983,M03,23581.0,
LASST020000000000004          ,1983,M04,23223.0,
LASST020000000000004          ,1983,M05,22913.0,
LASST020000000000004          ,1983,M06,22732.0,
LASST020000000000004          ,1983,M07,22701.0,
LASST020000000000004          ,1983,M08,22809.0,
LASST020000000000004          ,1983,M09,23021.0,
LASST020000000000004          ,1983,M10,23289.0,
LASST020000000000004          ,1983,M11,23574.0,
