year,fips,population,w_population_ratio,b_population_ratio,na_population_ratio,a_population_ratio,nh_population_ratio,hi_population_ratio,male_population_ratio,female_population_ratio,age0_population_ratio,age1_population_ratio,age2_population_ratio,age3_population_ratio,age4_population_ratio,age5_population_ratio,age6_population_ratio,age7_population_ratio,age8_population_ratio,age9_population_ratio,age10_population_ratio,age11_population_ratio,age12_population_ratio,age13_population_ratio,age14_population_ratio,age15_population_ratio,age16_population_ratio,age17_population_ratio,age18_population_ratio
2019,49045,72110,0.95392,0.01351,0.01592,0.01666,0.87021,0.12979,0.50759,0.49241,0.0132,0.06478,0.09114,0.09655,0.08343,0.0616,0.06629,0.0697,0.07884,0.07597,0.06314,0.05034,0.04988,0.04274,0.03362,0.02489,0.0156,0.00978,0.00853
2019,49047,35806,0.89454,0.00944,0.08501,0.011,0.91448,0.08552,0.50762,0.49238,0.01533,0.067,0.09334,0.09705,0.07926,0.0548,0.06703,0.07027,0.07867,0.06812,0.05306,0.04304,0.04963,0.05038,0.03874,0.03025,0.01916,0.01307,0.01181
2019,49049,635675,0.94447,0.01181,0.00972,0.034,0.87895,0.12105,0.50528,0.49472,0.01831,0.0729,0.09137,0.09275,0.09498,0.12642,0.08463,0.06052,0.06574,0.06144,0.04747,0.03826,0.03521,0.03194,0.02572,0.02034,0.0144,0.00923,0.00838
2019,49051,34210,0.9651,0.01058,0.00871,0.01561,0.86168,0.13832,0.50845,0.49155,0.01236,0.06071,0.08343,0.0976,0.08015,0.06065,0.05174,0.05642,0.07179,0.07632,0.06147,0.05358,0.05636,0.05723,0.04569,0.03353,0.02265,0.01038,0.00792
2019,49053,177938,0.94578,0.01203,0.01947,0.02272,0.89147,0.10853,0.49615,0.50385,0.01245,0.05164,0.06966,0.07564,0.07133,0.06172,0.06016,0.05532,0.06222,0.05642,0.04902,0.04472,0.04999,0.05858,0.06325,0.05885,0.04454,0.02906,0.02544
2019,49055,2703,0.96818,0.00962,0.0111,0.0111,0.93489,0.06511,0.51054,0.48946,0.00962,0.04846,0.06511,0.06511,0.07436,0.05179,0.04218,0.05401,0.05808,0.05031,0.05401,0.05068,0.07251,0.07769,0.08102,0.06178,0.04255,0.02257,0.01813
2019,49057,259680,0.93807,0.02114,0.01557,0.02523,0.81446,0.18554,0.50326,0.49674,0.01398,0.06019,0.07772,0.0796,0.07194,0.0711,0.0806,0.0731,0.07233,0.06713,0.05684,0.05082,0.05495,0.05056,0.0404,0.03135,0.02086,0.01358,0.01297
2019,50001,36994,0.95848,0.01811,0.0036,0.01981,0.97537,0.02463,0.49959,0.50041,0.00792,0.03409,0.04439,0.04695,0.07701,0.08918,0.05095,0.05255,0.05671,0.05228,0.05858,0.06674,0.07482,0.07823,0.07147,0.05817,0.0359,0.02263,0.02144
2019,50003,35532,0.96462,0.01759,0.00386,0.01393,0.97768,0.02232,0.48539,0.51461,0.00861,0.03692,0.04903,0.05648,0.06436,0.06549,0.05063,0.04784,0.05147,0.04827,0.05724,0.06808,0.08074,0.08173,0.07219,0.0604,0.04227,0.02668,0.03155
2019,50005,29860,0.9719,0.01209,0.0067,0.00931,0.98232,0.01768,0.49859,0.50141,0.00854,0.03831,0.0496,0.05646,0.06855,0.05727,0.05586,0.05157,0.0561,0.05486,0.06477,0.06443,0.07562,0.08084,0.07709,0.05814,0.03697,0.02163,0.02338
2019,50007,163918,0.91599,0.03038,0.00331,0.05032,0.97526,0.02474,0.49035,0.50965,0.00893,0.03613,0.04752,0.05139,0.08099,0.10963,0.07805,0.06546,0.06308,0.05559,0.05727,0.06031,0.06628,0.06375,0.05139,0.03927,0.0269,0.01709,0.02096
2019,50009,6145,0.97608,0.01123,0.00586,0.00683,0.98649,0.01351,0.50073,0.49927,0.00846,0.03531,0.04687,0.04915,0.04573,0.04264,0.04199,0.0454,0.04687,0.0467,0.06461,0.07307,0.08967,0.09862,0.08039,0.07535,0.05175,0.02734,0.03011
2019,50011,49384,0.96541,0.0112,0.01343,0.00996,0.98222,0.01778,0.49579,0.50421,0.01114,0.04692,0.06188,0.06198,0.05775,0.05455,0.06336,0.06441,0.0653,0.06069,0.0663,0.06913,0.0779,0.07268,0.05862,0.04392,0.02825,0.01741,0.0178
2019,50013,7208,0.96213,0.01484,0.01554,0.00749,0.97905,0.02095,0.50971,0.49029,0.0093,0.03621,0.05022,0.05008,0.05216,0.04772,0.05203,0.05924,0.05591,0.05425,0.05619,0.07575,0.09032,0.09781,0.08532,0.06132,0.03371,0.01887,0.0136
2019,50015,25420,0.97109,0.0157,0.00523,0.00799,0.98084,0.01916,0.50122,0.49878,0.00952,0.04115,0.057,0.06105,0.06294,0.05972,0.06385,0.06558,0.06168,0.06456,0.06554,0.06511,0.0729,0.07195,0.06011,0.04567,0.03352,0.01865,0.01951
2019,50017,28809,0.9799,0.00944,0.00455,0.00611,0.98573,0.01427,0.50148,0.49852,0.00833,0.03832,0.05033,0.05134,0.0572,0.05283,0.05273,0.05675,0.05988,0.05481,0.06036,0.06855,0.08372,0.08671,0.07716,0.06092,0.03697,0.02166,0.02142
2019,50019,26934,0.97412,0.01273,0.00783,0.00531,0.98374,0.01626,0.49967,0.50033,0.00936,0.03906,0.05495,0.05584,0.05432,0.05539,0.0558,0.05588,0.05669,0.05428,0.06041,0.06483,0.07355,0.08049,0.07537,0.06215,0.04199,0.02439,0.02525
2019,50021,58125,0.97603,0.01086,0.00366,0.00945,0.98385,0.01615,0.4955,0.5045,0.00797,0.03566,0.049,0.05037,0.06252,0.06083,0.05462,0.05383,0.054,0.04896,0.0592,0.06756,0.08387,0.08423,0.0762,0.06176,0.04022,0.02534,0.02383
2019,50023,58458,0.97073,0.01392,0.00438,0.01097,0.98028,0.01972,0.49738,0.50262,0.0085,0.03769,0.05016,0.05337,0.06854,0.06605,0.0543,0.05777,0.06023,0.05991,0.06324,0.0673,0.07558,0.07559,0.06849,0.05409,0.0345,0.02111,0.02359
2019,50025,42227,0.9605,0.02117,0.00412,0.01421,0.97554,0.02446,0.48926,0.51074,0.00781,0.03583,0.04919,0.05182,0.0538,0.05253,0.05513,0.05371,0.058,0.05264,0.05665,0.06437,0.08431,0.08682,0.08262,0.06484,0.04097,0.02311,0.02586
2019,50027,55032,0.97203,0.0125,0.0042,0.01127,0.98077,0.01923,0.48873,0.51127,0.00787,0.0354,0.04879,0.05348,0.04986,0.04763,0.05295,0.05733,0.05946,0.05444,0.05737,0.06533,0.08197,0.08769,0.07899,0.06414,0.04397,0.02718,0.02615
2019,51001,32325,0.68322,0.29927,0.00749,0.01002,0.91112,0.08888,0.48848,0.51152,0.01024,0.04461,0.05754,0.05958,0.05386,0.04458,0.05442,0.05336,0.05111,0.04922,0.05547,0.06323,0.07319,0.08538,0.07725,0.06475,0.04563,0.0284,0.02818
2019,51003,109843,0.8313,0.10363,0.00361,0.06146,0.94237,0.05763,0.47839,0.52161,0.01019,0.0434,0.05508,0.05587,0.08469,0.06577,0.06588,0.06431,0.06253,0.05563,0.05536,0.05876,0.06456,0.06652,0.06005,0.04846,0.03393,0.02311,0.02589
2019,51005,14898,0.93858,0.05424,0.00315,0.00403,0.98416,0.01584,0.48866,0.51134,0.00758,0.03658,0.04934,0.05424,0.05658,0.05249,0.05464,0.04611,0.04732,0.04987,0.06397,0.07175,0.07753,0.07672,0.07055,0.06954,0.05289,0.03215,0.03014
2019,51007,13058,0.77439,0.21282,0.00597,0.00682,0.96753,0.03247,0.49357,0.50643,0.01049,0.0435,0.05598,0.06127,0.05675,0.0494,0.05782,0.05744,0.05445,0.05345,0.0595,0.07053,0.08546,0.08424,0.06027,0.05499,0.03975,0.02206,0.02267
2019,51009,31678,0.78127,0.20194,0.00903,0.00777,0.975,0.025,0.48507,0.51493,0.00979,0.04293,0.053,0.05632,0.05657,0.05764,0.05701,0.05622,0.05284,0.0524,0.06531,0.07137,0.07933,0.07387,0.06553,0.05707,0.04173,0.0256,0.02544
2019,51011,15902,0.79713,0.19532,0.00289,0.00465,0.98101,0.01899,0.48516,0.51484,0.01277,0.0471,0.05723,0.05899,0.05691,0.0537,0.0605,0.05943,0.06075,0.05182,0.0654,0.06094,0.07156,0.07395,0.06282,0.05672,0.0432,0.02427,0.02195
2019,51013,238392,0.76597,0.10356,0.00761,0.12287,0.84533,0.15467,0.50126,0.49874,0.01186,0.04576,0.0517,0.04656,0.04002,0.06823,0.12632,0.10983,0.09154,0.07387,0.06718,0.05781,0.05329,0.04502,0.03806,0.02923,0.01878,0.01117,0.01378
