year,state_fip,population,w_population_ratio,b_population_ratio,na_population_ratio,a_population_ratio,nh_population_ratio,hi_population_ratio,male_population_ratio,female_population_ratio,age0_population_ratio,age1_population_ratio,age2_population_ratio,age3_population_ratio,age4_population_ratio,age5_population_ratio,age6_population_ratio,age7_population_ratio,age8_population_ratio,age9_population_ratio,age10_population_ratio,age11_population_ratio,age12_population_ratio,age13_population_ratio,age14_population_ratio,age15_population_ratio,age16_population_ratio,age17_population_ratio,age18_population_ratio
2018,24,6042153,0.59923,0.32074,0.00711,0.07293,0.89729,0.10271,0.48445,0.51555,0.01186,0.04854,0.06146,0.06266,0.06311,0.06221,0.06902,0.0689,0.06741,0.06061,0.06574,0.0698,0.07158,0.06295,0.05085,0.03946,0.02696,0.01734,0.01956
2018,25,6885720,0.82166,0.09715,0.00596,0.07522,0.87893,0.12107,0.48525,0.51475,0.0103,0.04201,0.05382,0.05649,0.06585,0.07119,0.07337,0.07025,0.06373,0.05811,0.06425,0.06933,0.07145,0.06482,0.05326,0.04148,0.02806,0.01915,0.02309
2018,26,9987286,0.80447,0.14999,0.00912,0.03642,0.94779,0.05221,0.49248,0.50752,0.01106,0.04623,0.05866,0.06203,0.06535,0.06947,0.06949,0.06027,0.05999,0.05633,0.06309,0.06611,0.07172,0.06873,0.05727,0.04327,0.03017,0.01953,0.02121
2018,27,5608762,0.85272,0.07633,0.01569,0.05526,0.94488,0.05512,0.49805,0.50195,0.01208,0.05113,0.06434,0.06615,0.06376,0.06397,0.06712,0.06855,0.06844,0.05822,0.06007,0.06316,0.07045,0.0641,0.05254,0.03848,0.02721,0.01858,0.02166
2018,28,2982879,0.5972,0.38395,0.00644,0.01242,0.96716,0.03284,0.48506,0.51494,0.01243,0.05025,0.06466,0.06939,0.06809,0.06856,0.07034,0.06203,0.06383,0.05886,0.06187,0.06189,0.06655,0.06273,0.05278,0.04107,0.0285,0.01872,0.01745
2018,29,6125986,0.84172,0.12611,0.00729,0.02488,0.95708,0.04292,0.49086,0.50914,0.01195,0.04905,0.06178,0.06411,0.06388,0.06667,0.06957,0.0649,0.06436,0.05718,0.06042,0.0623,0.07016,0.06515,0.05424,0.04232,0.03022,0.02012,0.02161
2018,30,1061818,0.90632,0.00966,0.07263,0.01139,0.96015,0.03985,0.50328,0.49672,0.01102,0.04754,0.05989,0.06152,0.06015,0.06822,0.06738,0.06236,0.06359,0.05578,0.0555,0.05775,0.07029,0.07237,0.0646,0.04772,0.03234,0.02055,0.02143
2018,31,1925512,0.89343,0.05934,0.0171,0.03014,0.88788,0.11212,0.49906,0.50094,0.01325,0.05552,0.06878,0.06946,0.06823,0.07087,0.06662,0.06606,0.06671,0.0576,0.05688,0.05719,0.06501,0.06099,0.05141,0.03772,0.02637,0.01906,0.02229
2018,32,3030725,0.76277,0.11358,0.0196,0.10405,0.71118,0.28882,0.50162,0.49838,0.01166,0.04956,0.06328,0.06512,0.05972,0.06005,0.07505,0.07181,0.06941,0.06316,0.06622,0.06372,0.06394,0.05999,0.05289,0.04388,0.02916,0.01701,0.01437
2018,33,1355064,0.94315,0.02093,0.00384,0.03208,0.961,0.039,0.4956,0.5044,0.00888,0.0382,0.05126,0.05623,0.06257,0.06604,0.06354,0.0615,0.0591,0.05518,0.06632,0.074,0.08183,0.07498,0.06101,0.04718,0.03042,0.01945,0.02232
