year,state_fip,population,w_population_ratio,b_population_ratio,na_population_ratio,a_population_ratio,nh_population_ratio,hi_population_ratio,male_population_ratio,female_population_ratio,age0_population_ratio,age1_population_ratio,age2_population_ratio,age3_population_ratio,age4_population_ratio,age5_population_ratio,age6_population_ratio,age7_population_ratio,age8_population_ratio,age9_population_ratio,age10_population_ratio,age11_population_ratio,age12_population_ratio,age13_population_ratio,age14_population_ratio,age15_population_ratio,age16_population_ratio,age17_population_ratio,age18_population_ratio
2020,1,4921532,0.70008,0.27433,0.00779,0.0178,0.95397,0.04603,0.48297,0.51703,0.01143,0.04789,0.06084,0.06303,0.06301,0.06568,0.06744,0.06475,0.06154,0.05963,0.06146,0.06211,0.06759,0.06596,0.05728,0.04791,0.03258,0.02099,0.01887
2020,2,731158,0.68467,0.04934,0.17554,0.09044,0.92675,0.07325,0.52183,0.47817,0.01327,0.05477,0.07063,0.06706,0.06134,0.06914,0.08002,0.07906,0.07343,0.0608,0.05633,0.05784,0.0637,0.06149,0.05133,0.03642,0.0218,0.01154,0.01004
2020,4,7421401,0.83784,0.06072,0.05667,0.04477,0.68107,0.31893,0.49666,0.50334,0.01097,0.04626,0.06183,0.06444,0.06494,0.06796,0.07139,0.06751,0.06368,0.05947,0.05836,0.05748,0.06049,0.0601,0.05559,0.05044,0.03598,0.02263,0.02049
2020,5,3030522,0.80187,0.16318,0.01168,0.02327,0.91976,0.08024,0.49063,0.50937,0.01189,0.04958,0.06376,0.06615,0.06504,0.06642,0.06692,0.0647,0.06302,0.05998,0.0593,0.05885,0.06477,0.06267,0.05548,0.04698,0.03307,0.02128,0.02016
2020,6,39368078,0.73362,0.07294,0.02022,0.17323,0.60451,0.39549,0.49729,0.50271,0.01135,0.04734,0.06271,0.06364,0.06385,0.06599,0.0765,0.07634,0.07065,0.06412,0.06231,0.06244,0.06265,0.05832,0.04872,0.03941,0.02673,0.01773,0.01921
2020,8,5807719,0.88346,0.05448,0.01972,0.04233,0.78059,0.21941,0.50379,0.49621,0.01086,0.04503,0.05938,0.06223,0.06309,0.06548,0.07949,0.07961,0.07458,0.06594,0.06204,0.05934,0.0615,0.06053,0.05229,0.04127,0.02579,0.01583,0.01572
2020,9,3557006,0.80463,0.13401,0.00747,0.0539,0.82768,0.17232,0.48775,0.51225,0.00962,0.04087,0.05446,0.05913,0.06601,0.067,0.06346,0.06267,0.06227,0.05915,0.06058,0.069,0.07438,0.06978,0.05641,0.04585,0.03272,0.02116,0.02546
2020,10,986809,0.7002,0.24621,0.00781,0.04578,0.90162,0.09838,0.48311,0.51689,0.01064,0.04455,0.05756,0.0589,0.06129,0.05831,0.06485,0.06654,0.06114,0.05625,0.05576,0.06236,0.07036,0.07127,0.06503,0.05501,0.03703,0.02228,0.02088
2020,11,712816,0.47115,0.4702,0.00726,0.05138,0.8862,0.1138,0.47408,0.52592,0.01294,0.04921,0.05522,0.04266,0.05091,0.07161,0.11457,0.11652,0.09179,0.06673,0.05393,0.04996,0.05117,0.04675,0.04016,0.03217,0.02185,0.0146,0.01724
2020,12,21733312,0.78295,0.1767,0.00584,0.03452,0.73544,0.26456,0.48866,0.51134,0.0101,0.04212,0.05425,0.05575,0.05535,0.05816,0.06423,0.06546,0.06239,0.0595,0.0609,0.063,0.0689,0.06649,0.06104,0.05581,0.04155,0.02757,0.02744
2020,13,10710017,0.60827,0.33672,0.006,0.04901,0.90029,0.09971,0.48567,0.51433,0.01167,0.04879,0.06417,0.06787,0.06834,0.0678,0.07151,0.06914,0.06637,0.06386,0.06525,0.06464,0.06486,0.05869,0.04902,0.04055,0.02673,0.0162,0.01453
2020,15,1407006,0.25523,0.03073,0.00456,0.70948,0.8949,0.1051,0.50061,0.49939,0.01155,0.04818,0.06223,0.05584,0.05318,0.06191,0.06994,0.06961,0.06782,0.06145,0.05784,0.05922,0.06245,0.06326,0.05889,0.05106,0.03418,0.02142,0.02995
2020,16,1826913,0.94542,0.01312,0.02034,0.02112,0.87012,0.12988,0.50146,0.49854,0.01179,0.05052,0.06845,0.07268,0.06959,0.06567,0.06718,0.06506,0.06582,0.06239,0.05705,0.05544,0.05969,0.06118,0.05605,0.04573,0.03054,0.01852,0.01665
2020,17,12587530,0.77468,0.15392,0.00723,0.06417,0.82365,0.17635,0.49138,0.50862,0.01113,0.04667,0.06058,0.06322,0.06453,0.06501,0.07014,0.0682,0.06686,0.06314,0.06173,0.06266,0.06621,0.06395,0.05362,0.04265,0.02911,0.0194,0.0212
2020,18,6754953,0.85593,0.10972,0.00516,0.02919,0.92561,0.07439,0.49326,0.50674,0.01191,0.04959,0.06427,0.06602,0.06716,0.07007,0.06853,0.06431,0.06304,0.06064,0.06008,0.06033,0.06533,0.06363,0.05434,0.0432,0.02912,0.01902,0.01942
2020,19,3163561,0.91331,0.04951,0.00629,0.03089,0.9349,0.0651,0.49808,0.50192,0.01169,0.04919,0.06335,0.06593,0.06714,0.07125,0.06502,0.06104,0.0639,0.05956,0.05538,0.05766,0.06469,0.06524,0.05725,0.04496,0.03039,0.02167,0.02469
2020,20,2913805,0.87665,0.07224,0.01502,0.03608,0.87568,0.12432,0.49816,0.50184,0.01211,0.05073,0.06669,0.06864,0.06849,0.07259,0.06722,0.06372,0.06553,0.05974,0.05549,0.05561,0.06292,0.06294,0.0544,0.04254,0.02876,0.01941,0.02247
2020,21,4477251,0.88514,0.09246,0.00324,0.01915,0.95996,0.04004,0.49257,0.50743,0.01173,0.0486,0.06203,0.06317,0.06364,0.06666,0.06823,0.06379,0.06185,0.0612,0.06142,0.06241,0.06778,0.06533,0.05679,0.04648,0.03074,0.01974,0.01841
2020,22,4645318,0.63425,0.33607,0.00877,0.02091,0.94562,0.05438,0.48741,0.51259,0.0123,0.0514,0.06495,0.06562,0.06279,0.06535,0.06995,0.06976,0.0678,0.06087,0.05675,0.0589,0.06503,0.06412,0.05501,0.04364,0.02906,0.01878,0.01792
2020,23,1350141,0.95517,0.0214,0.00855,0.01489,0.98129,0.01871,0.4898,0.5102,0.00909,0.03785,0.0498,0.0533,0.05698,0.05522,0.05999,0.06181,0.05954,0.05663,0.05961,0.0667,0.07705,0.07884,0.07109,0.0588,0.03861,0.02419,0.0249
2020,24,6055802,0.59377,0.32421,0.00737,0.07465,0.89193,0.10807,0.48426,0.51574,0.01149,0.04777,0.06132,0.06237,0.06235,0.06089,0.06675,0.06968,0.06802,0.06276,0.06167,0.06659,0.0706,0.06468,0.05275,0.04278,0.02917,0.01844,0.0199
