series_id                     ,year,period,       value,footnote_codes
LAUCN010270000000006          ,2024,M02,5908.0,P
LAUCN010290000000003          ,2024,M01,3.0,
LAUCN010290000000003          ,2024,M02,3.3,P
LAUCN010290000000004          ,2024,M01,187.0,
LAUCN010290000000004          ,2024,M02,205.0,P
LAUCN010290000000005          ,2024,M01,6138.0,
LAUCN010290000000005          ,2024,M02,6020.0,P
LAUCN010290000000006          ,2024,M01,6325.0,
LAUCN010290000000006          ,2024,M02,6225.0,P
LAUCN010310000000003          ,2024,M01,3.2,
LAUCN010310000000003          ,2024,M02,3.5,P
LAUCN010310000000004          ,2024,M01,710.0,
LAUCN010310000000004          ,2024,M02,758.0,P
LAUCN010310000000005          ,2024,M01,21139.0,
LAUCN010310000000005          ,2024,M02,20899.0,P
LAUCN010310000000006          ,2024,M01,21849.0,
LAUCN010310000000006          ,2024,M02,21657.0,P
LAUCN010330000000003          ,2024,M01,4.1,
LAUCN010330000000003          ,2024,M02,3.8,P
LAUCN010330000000004          ,2024,M01,985.0,
LAUCN010330000000004          ,2024,M02,922.0,P
LAUCN010330000000005          ,2024,M01,23036.0,
LAUCN010330000000005          ,2024,M02,23099.0,P
LAUCN010330000000006          ,2024,M01,24021.0,
LAUCN010330000000006          ,2024,M02,24021.0,P
LAUCN010350000000003          ,2024,M01,4.4,
LAUCN010350000000003          ,2024,M02,4.6,P
LAUCN010350000000004          ,2024,M01,187.0,
LAUCN010350000000004          ,2024,M02,193.0,P
LAUCN010350000000005          ,2024,M01,4066.0,
LAUCN010350000000005          ,2024,M02,4009.0,P
LAUCN010350000000006          ,2024,M01,4253.0,
LAUCN010350000000006          ,2024,M02,4202.0,P
LAUCN010370000000003          ,2024,M01,3.8,
LAUCN010370000000003          ,2024,M02,3.5,P
LAUCN010370000000004          ,2024,M01,171.0,
LAUCN010370000000004          ,2024,M02,159.0,P
LAUCN010370000000005          ,2024,M01,4345.0,
LAUCN010370000000005          ,2024,M02,4323.0,P
LAUCN010370000000006          ,2024,M01,4516.0,
LAUCN010370000000006          ,2024,M02,4482.0,P
LAUCN010390000000003          ,2024,M01,3.9,
LAUCN010390000000003          ,2024,M02,3.9,P
LAUCN010390000000004          ,2024,M01,582.0,
LAUCN010390000000004          ,2024,M02,574.0,P
LAUCN010390000000005          ,2024,M01,14269.0,
LAUCN010390000000005          ,2024,M02,13989.0,P
LAUCN010390000000006          ,2024,M01,14851.0,
LAUCN010390000000006          ,2024,M02,14563.0,P
LAUCN010410000000003          ,2024,M01,3.5,
LAUCN010410000000003          ,2024,M02,3.5,P
LAUCN010410000000004          ,2024,M01,216.0,
LAUCN010410000000004          ,2024,M02,210.0,P
LAUCN010410000000005          ,2024,M01,6014.0,
LAUCN010410000000005          ,2024,M02,5835.0,P
LAUCN010410000000006          ,2024,M01,6230.0,
LAUCN010410000000006          ,2024,M02,6045.0,P
LAUCN010430000000003          ,2024,M01,2.7,
LAUCN010430000000003          ,2024,M02,2.9,P
LAUCN010430000000004          ,2024,M01,1074.0,
LAUCN010430000000004          ,2024,M02,1147.0,P
LAUCN010430000000005          ,2024,M01,38644.0,
LAUCN010430000000005          ,2024,M02,38330.0,P
LAUCN010430000000006          ,2024,M01,39718.0,
LAUCN010430000000006          ,2024,M02,39477.0,P
LAUCN010450000000003          ,2024,M01,3.5,
LAUCN010450000000003          ,2024,M02,3.6,P
LAUCN010450000000004          ,2024,M01,756.0,
LAUCN010450000000004          ,2024,M02,753.0,P
LAUCN010450000000005          ,2024,M01,20553.0,
LAUCN010450000000005          ,2024,M02,20420.0,P
LAUCN010450000000006          ,2024,M01,21309.0,
LAUCN010450000000006          ,2024,M02,21173.0,P
LAUCN010470000000003          ,2024,M01,6.8,
LAUCN010470000000003          ,2024,M02,6.8,P
LAUCN010470000000004          ,2024,M01,921.0,
LAUCN010470000000004          ,2024,M02,912.0,P
