year,fips,population,w_population_ratio,b_population_ratio,na_population_ratio,a_population_ratio,nh_population_ratio,hi_population_ratio,male_population_ratio,female_population_ratio,age0_population_ratio,age1_population_ratio,age2_population_ratio,age3_population_ratio,age4_population_ratio,age5_population_ratio,age6_population_ratio,age7_population_ratio,age8_population_ratio,age9_population_ratio,age10_population_ratio,age11_population_ratio,age12_population_ratio,age13_population_ratio,age14_population_ratio,age15_population_ratio,age16_population_ratio,age17_population_ratio,age18_population_ratio
2018,20047,2806,0.94868,0.02245,0.02637,0.00249,0.79187,0.20813,0.50748,0.49252,0.00891,0.04847,0.067,0.067,0.06308,0.05096,0.04597,0.04669,0.05773,0.0531,0.05417,0.06486,0.07805,0.08517,0.06237,0.05025,0.03671,0.03243,0.02708
2018,20049,2470,0.95789,0.01215,0.02227,0.00769,0.95223,0.04777,0.50324,0.49676,0.00891,0.04656,0.06478,0.06437,0.04656,0.03684,0.0413,0.03482,0.04858,0.0413,0.0502,0.05709,0.08057,0.08866,0.07976,0.06559,0.05951,0.04413,0.04049
2018,20051,28709,0.9544,0.02285,0.00453,0.01822,0.94012,0.05988,0.50068,0.49932,0.01069,0.04654,0.06238,0.05974,0.07492,0.12801,0.07297,0.06315,0.06043,0.05051,0.04877,0.04915,0.05685,0.06099,0.05079,0.03525,0.02438,0.01992,0.02456
2018,20053,6156,0.92463,0.05994,0.00893,0.0065,0.93746,0.06254,0.56368,0.43632,0.00893,0.03622,0.05101,0.05361,0.0489,0.07066,0.06774,0.06709,0.06595,0.05962,0.05702,0.06222,0.07066,0.07456,0.06628,0.04467,0.03687,0.02615,0.03184
2018,20055,36473,0.8917,0.04872,0.01445,0.04513,0.49823,0.50177,0.51356,0.48644,0.01771,0.07063,0.08428,0.0834,0.08061,0.07466,0.07318,0.06849,0.06251,0.05681,0.05426,0.05758,0.05818,0.04765,0.03888,0.02665,0.01807,0.01121,0.01524
2018,20057,33623,0.93127,0.032,0.01921,0.01752,0.44728,0.55272,0.51828,0.48172,0.01547,0.07111,0.08563,0.08149,0.07795,0.07147,0.07537,0.0638,0.06406,0.05746,0.05889,0.05737,0.05856,0.04961,0.0356,0.0262,0.01728,0.01431,0.01838
2018,20059,25681,0.96048,0.02161,0.01211,0.0058,0.95717,0.04283,0.49912,0.50088,0.01223,0.04864,0.06577,0.07052,0.07087,0.05868,0.06102,0.05849,0.06063,0.05409,0.06195,0.06374,0.07912,0.06807,0.05409,0.04209,0.03162,0.02025,0.01815
2018,20061,32998,0.71389,0.2125,0.01873,0.05488,0.83302,0.16698,0.52746,0.47254,0.0253,0.09452,0.09188,0.06603,0.05546,0.13128,0.12155,0.09131,0.07131,0.04421,0.03376,0.03058,0.03018,0.02709,0.02576,0.02203,0.01555,0.01076,0.01142
2018,20063,2612,0.97894,0.0111,0.00115,0.00881,0.97243,0.02757,0.50498,0.49502,0.01225,0.04862,0.07198,0.067,0.05743,0.04556,0.04364,0.05168,0.05398,0.05245,0.04096,0.0513,0.07504,0.08002,0.06317,0.05436,0.04135,0.03331,0.0559
2018,20065,2448,0.92525,0.04902,0.0098,0.01593,0.96242,0.03758,0.4906,0.5094,0.00776,0.03676,0.06291,0.0625,0.04739,0.04085,0.04412,0.04698,0.05556,0.05147,0.04167,0.05515,0.08864,0.09232,0.06291,0.05188,0.05637,0.04657,0.0482
2018,20067,7271,0.94884,0.01375,0.03136,0.00605,0.51822,0.48178,0.50117,0.49883,0.0154,0.06327,0.08816,0.0872,0.08568,0.06258,0.05639,0.05845,0.05611,0.06423,0.05653,0.04992,0.06423,0.05873,0.0458,0.0326,0.02338,0.01595,0.0154
2018,20069,6085,0.96795,0.02071,0.00592,0.00542,0.83993,0.16007,0.50403,0.49597,0.01397,0.06459,0.0751,0.08809,0.07609,0.06228,0.05555,0.05407,0.05834,0.06623,0.04864,0.05768,0.06952,0.0562,0.05062,0.03303,0.02564,0.02235,0.02202
2018,20071,1229,0.98047,0.00651,0.00814,0.00488,0.80309,0.19691,0.47844,0.52156,0.02116,0.04719,0.08544,0.07974,0.0594,0.0358,0.04963,0.06916,0.06916,0.04719,0.03011,0.05696,0.07811,0.07079,0.0537,0.03987,0.03417,0.02929,0.04312
2018,20073,6008,0.96455,0.01332,0.01814,0.00399,0.95972,0.04028,0.50083,0.49917,0.00816,0.04577,0.05593,0.06691,0.05942,0.04677,0.03678,0.04677,0.05027,0.0521,0.05376,0.06325,0.08372,0.08106,0.07673,0.06508,0.04744,0.0243,0.03579
2018,20075,2584,0.94659,0.02786,0.0209,0.00464,0.63893,0.36107,0.51858,0.48142,0.01045,0.06037,0.09327,0.07663,0.06618,0.0565,0.07353,0.06889,0.06192,0.05263,0.0596,0.05689,0.06811,0.05573,0.04683,0.03367,0.0298,0.01625,0.01277
2018,20077,5500,0.96455,0.01291,0.01509,0.00745,0.93636,0.06364,0.50073,0.49927,0.01127,0.054,0.074,0.07182,0.05891,0.046,0.04745,0.05691,0.05291,0.05182,0.04964,0.05236,0.06818,0.07327,0.06691,0.04891,0.04091,0.03236,0.04236
2018,20079,34225,0.94957,0.02758,0.01037,0.01248,0.87781,0.12219,0.49484,0.50516,0.01037,0.04877,0.06691,0.07123,0.07553,0.0656,0.05551,0.05592,0.06045,0.0556,0.05175,0.05478,0.06822,0.06595,0.05452,0.0438,0.03293,0.02752,0.03462
2018,20081,3993,0.96494,0.01227,0.01453,0.00826,0.68871,0.31129,0.49662,0.50338,0.01528,0.0551,0.07839,0.08264,0.07663,0.06712,0.06061,0.0596,0.0566,0.05735,0.05835,0.05359,0.06637,0.06536,0.05485,0.03181,0.02554,0.01628,0.01853
2018,20083,1799,0.94386,0.01779,0.00611,0.03224,0.92496,0.07504,0.5025,0.4975,0.00778,0.05503,0.05392,0.06782,0.06115,0.05058,0.04614,0.05559,0.05058,0.0428,0.05114,0.06003,0.08616,0.08004,0.0617,0.04169,0.04447,0.04336,0.04002
2018,20085,13288,0.87936,0.01648,0.09828,0.00587,0.94845,0.05155,0.50233,0.49767,0.01249,0.05306,0.06547,0.07435,0.06886,0.05479,0.04929,0.05479,0.05343,0.05381,0.06344,0.0663,0.06969,0.06969,0.06066,0.05057,0.03371,0.0225,0.0231
2018,20087,18901,0.97138,0.01217,0.01243,0.00402,0.97069,0.02931,0.50971,0.49029,0.00979,0.04391,0.06063,0.07063,0.06449,0.04994,0.04899,0.0536,0.05947,0.05735,0.06026,0.07053,0.08709,0.07687,0.06132,0.04783,0.03381,0.0219,0.02159
2018,20089,2832,0.98164,0.00636,0.00706,0.00494,0.97493,0.02507,0.51306,0.48694,0.01059,0.04449,0.05332,0.05614,0.04555,0.04379,0.04555,0.04732,0.03955,0.04379,0.04449,0.05403,0.07556,0.09569,0.08051,0.06815,0.05544,0.03849,0.05756
2018,20091,599045,0.88142,0.05575,0.00517,0.05767,0.92188,0.07812,0.49087,0.50913,0.01218,0.05143,0.06699,0.07033,0.06443,0.05754,0.06718,0.07075,0.07397,0.06599,0.06621,0.06341,0.0653,0.05931,0.0499,0.03721,0.02325,0.01565,0.01898
2018,20093,3926,0.95313,0.01936,0.01961,0.0079,0.68237,0.31763,0.49745,0.50255,0.01452,0.06928,0.08507,0.08507,0.06291,0.06164,0.06648,0.07234,0.0596,0.05069,0.04789,0.05909,0.06368,0.04992,0.0433,0.03413,0.02598,0.02573,0.02267
