year,state_fip,population,w_population_ratio,b_population_ratio,na_population_ratio,a_population_ratio,nh_population_ratio,hi_population_ratio,male_population_ratio,female_population_ratio,age0_population_ratio,age1_population_ratio,age2_population_ratio,age3_population_ratio,age4_population_ratio,age5_population_ratio,age6_population_ratio,age7_population_ratio,age8_population_ratio,age9_population_ratio,age10_population_ratio,age11_population_ratio,age12_population_ratio,age13_population_ratio,age14_population_ratio,age15_population_ratio,age16_population_ratio,age17_population_ratio,age18_population_ratio
2008,46,799124,0.88174,0.01476,0.09359,0.00991,0.974,0.026,0.49916,0.50084,0.0147,0.05756,0.06713,0.06746,0.07357,0.07257,0.06623,0.05829,0.05772,0.06182,0.07371,0.07305,0.06412,0.04957,0.03774,0.03114,0.02771,0.02274,0.02316
2008,47,6247411,0.80774,0.17202,0.00427,0.01597,0.95797,0.04203,0.48729,0.51271,0.01345,0.05169,0.06565,0.06656,0.07002,0.06613,0.06767,0.06298,0.06961,0.07052,0.07444,0.07188,0.06415,0.05447,0.04203,0.03158,0.02435,0.01773,0.01509
2008,48,24309039,0.8243,0.12453,0.01003,0.04114,0.63276,0.36724,0.49607,0.50393,0.01601,0.06287,0.07503,0.07494,0.07596,0.07313,0.07446,0.06935,0.07192,0.06899,0.07154,0.06571,0.05497,0.04375,0.03206,0.02441,0.01921,0.01393,0.01175
2008,49,2663029,0.9369,0.01436,0.01616,0.03258,0.87581,0.12419,0.50221,0.49779,0.01945,0.07716,0.08911,0.08074,0.08199,0.08595,0.08562,0.07561,0.06333,0.05589,0.0585,0.05531,0.04657,0.03645,0.02725,0.02093,0.01683,0.01244,0.01086
2008,50,624151,0.96946,0.01243,0.00487,0.01324,0.9857,0.0143,0.49256,0.50744,0.01016,0.04166,0.05597,0.06243,0.07673,0.06983,0.05468,0.05386,0.0625,0.07131,0.08263,0.08321,0.07535,0.05991,0.04284,0.03125,0.02564,0.02056,0.01949
2008,51,7833496,0.73192,0.20457,0.00536,0.05815,0.92651,0.07349,0.49078,0.50922,0.01321,0.0518,0.06324,0.06498,0.07066,0.07197,0.06955,0.06464,0.071,0.07431,0.07841,0.07299,0.06276,0.05171,0.03789,0.02777,0.02203,0.01656,0.01453
2008,53,6562231,0.84991,0.04489,0.02147,0.08373,0.8948,0.1052,0.49816,0.50184,0.0136,0.05175,0.06375,0.06605,0.07096,0.06956,0.07179,0.06521,0.07032,0.06993,0.07582,0.07434,0.06581,0.05263,0.03693,0.02654,0.02131,0.01693,0.01677
2008,54,1840310,0.95288,0.0374,0.00229,0.00743,0.98847,0.01153,0.49198,0.50802,0.01207,0.04497,0.05729,0.05925,0.066,0.06275,0.06067,0.05917,0.06489,0.06701,0.0737,0.07782,0.07469,0.0611,0.04792,0.03798,0.03037,0.02371,0.01865
2008,55,5640996,0.89704,0.06772,0.01147,0.02377,0.94488,0.05512,0.49614,0.50386,0.01276,0.05069,0.06464,0.06711,0.0727,0.06915,0.06443,0.05996,0.06411,0.0708,0.07932,0.07512,0.06504,0.05018,0.03788,0.02962,0.02561,0.02069,0.02018
2008,56,546043,0.95058,0.01191,0.02792,0.00959,0.91585,0.08415,0.50923,0.49077,0.0146,0.05532,0.06478,0.06448,0.07113,0.07489,0.07094,0.05989,0.06116,0.06116,0.07528,0.08035,0.07017,0.05375,0.03875,0.02895,0.02282,0.01667,0.01493
