year,month,       value,state_code
2013,1,3.3,01
2013,2,4.3,01
2013,3,3.0,01
2013,4,3.4,01
2013,5,3.5,01
2013,6,3.5,01
2013,7,3.1,01
2013,8,3.2,01
2013,9,3.4,01
2013,10,3.0,01
2013,11,3.2,01
2013,12,3.4,01
2013,1,5.1,02
2013,2,5.3,02
2013,3,5.0,02
2013,4,5.0,02
2013,5,4.8,02
2013,6,4.8,02
2013,7,4.8,02
2013,8,5.6,02
2013,9,5.0,02
2013,10,5.0,02
2013,11,5.0,02
2013,12,5.3,02
2013,1,3.7,04
2013,2,4.6,04
2013,3,3.7,04
2013,4,4.1,04
2013,5,3.8,04
2013,6,3.7,04
2013,7,4.0,04
2013,8,3.7,04
2013,9,3.7,04
2013,10,4.0,04
2013,11,4.2,04
2013,12,4.3,04
2013,1,4.0,05
2013,2,3.2,05
2013,3,2.9,05
2013,4,3.2,05
2013,5,3.7,05
2013,6,3.4,05
2013,7,3.1,05
2013,8,3.7,05
2013,9,3.6,05
2013,10,3.5,05
2013,11,3.6,05
2013,12,3.5,05
2013,1,3.0,06
2013,2,3.2,06
2013,3,3.2,06
2013,4,3.0,06
2013,5,3.2,06
2013,6,3.1,06
2013,7,3.2,06
2013,8,3.3,06
2013,9,3.4,06
2013,10,3.4,06
2013,11,3.0,06
2013,12,3.1,06
2013,1,4.7,08
2013,2,4.6,08
2013,3,3.9,08
2013,4,4.2,08
2013,5,4.0,08
2013,6,4.2,08
2013,7,4.6,08
2013,8,4.4,08
2013,9,4.4,08
2013,10,4.2,08
2013,11,4.4,08
2013,12,4.1,08
2013,1,2.7,09
2013,2,2.6,09
2013,3,2.7,09
2013,4,2.4,09
2013,5,2.3,09
2013,6,2.5,09
2013,7,2.7,09
2013,8,2.6,09
2013,9,2.2,09
2013,10,2.3,09
2013,11,2.2,09
2013,12,2.2,09
2013,1,4.0,10
2013,2,4.7,10
2013,3,4.0,10
2013,4,5.2,10
2013,5,6.3,10
2013,6,4.7,10
2013,7,3.7,10
2013,8,4.4,10
2013,9,4.6,10
2013,10,3.7,10
2013,11,5.1,10
2013,12,3.7,10
2013,1,2.2,11
2013,2,2.7,11
2013,3,2.4,11
2013,4,2.4,11
2013,5,2.4,11
2013,6,2.4,11
2013,7,2.4,11
2013,8,2.6,11
2013,9,2.7,11
2013,10,2.0,11
2013,11,2.3,11
2013,12,2.3,11
2013,1,3.2,12
2013,2,3.6,12
2013,3,3.3,12
2013,4,4.0,12
2013,5,3.3,12
2013,6,3.6,12
2013,7,3.6,12
2013,8,3.7,12
2013,9,3.9,12
2013,10,3.8,12
2013,11,4.0,12
2013,12,3.5,12
2013,1,3.2,13
2013,2,3.4,13
2013,3,3.6,13
2013,4,3.5,13
2013,5,3.5,13
2013,6,3.3,13
2013,7,3.3,13
