year,month,       value,state_code
2013,1,1.5,01
2013,2,1.8,01
2013,3,1.6,01
2013,4,1.8,01
2013,5,1.6,01
2013,6,1.6,01
2013,7,1.8,01
2013,8,1.6,01
2013,9,1.6,01
2013,10,1.5,01
2013,11,1.7,01
2013,12,1.6,01
2013,1,2.7,02
2013,2,2.4,02
2013,3,2.4,02
2013,4,2.7,02
2013,5,2.4,02
2013,6,2.4,02
2013,7,2.7,02
2013,8,2.7,02
2013,9,2.4,02
2013,10,2.7,02
2013,11,2.7,02
2013,12,2.7,02
2013,1,2.0,04
2013,2,2.0,04
2013,3,2.3,04
2013,4,2.3,04
2013,5,2.0,04
2013,6,1.7,04
2013,7,2.1,04
2013,8,2.3,04
2013,9,2.2,04
2013,10,2.2,04
2013,11,2.1,04
2013,12,2.0,04
2013,1,2.1,05
2013,2,1.9,05
2013,3,1.7,05
2013,4,1.7,05
2013,5,1.9,05
2013,6,1.8,05
2013,7,1.8,05
2013,8,1.9,05
2013,9,1.8,05
2013,10,1.6,05
2013,11,1.9,05
2013,12,2.4,05
2013,1,1.6,06
2013,2,1.4,06
2013,3,1.4,06
2013,4,1.4,06
2013,5,1.5,06
2013,6,1.4,06
2013,7,1.6,06
2013,8,1.7,06
2013,9,1.4,06
2013,10,1.5,06
2013,11,1.5,06
2013,12,1.5,06
2013,1,2.7,08
2013,2,2.0,08
2013,3,1.9,08
2013,4,2.4,08
2013,5,2.1,08
2013,6,2.0,08
2013,7,2.6,08
2013,8,2.8,08
2013,9,2.0,08
2013,10,1.8,08
2013,11,2.4,08
2013,12,2.6,08
2013,1,1.3,09
2013,2,1.1,09
2013,3,1.0,09
2013,4,1.2,09
2013,5,1.1,09
2013,6,1.3,09
2013,7,1.1,09
2013,8,1.1,09
2013,9,1.3,09
2013,10,1.3,09
2013,11,1.0,09
2013,12,0.8,09
2013,1,1.9,10
2013,2,2.1,10
2013,3,1.6,10
2013,4,1.9,10
2013,5,1.9,10
2013,6,1.9,10
2013,7,1.9,10
2013,8,1.9,10
2013,9,1.9,10
2013,10,1.9,10
2013,11,2.1,10
2013,12,2.3,10
2013,1,1.1,11
2013,2,1.5,11
2013,3,1.2,11
2013,4,1.2,11
2013,5,1.1,11
2013,6,1.2,11
2013,7,1.1,11
2013,8,1.1,11
2013,9,1.1,11
2013,10,1.2,11
2013,11,1.1,11
2013,12,1.2,11
2013,1,1.7,12
2013,2,1.8,12
2013,3,1.6,12
2013,4,1.8,12
2013,5,1.4,12
2013,6,1.9,12
2013,7,1.8,12
2013,8,1.6,12
2013,9,1.8,12
2013,10,1.7,12
2013,11,1.8,12
2013,12,2.0,12
2013,1,2.0,13
2013,2,1.8,13
2013,3,1.5,13
2013,4,1.7,13
2013,5,1.6,13
2013,6,1.6,13
2013,7,1.6,13
2013,8,1.7,13
2013,9,1.5,13
2013,10,1.8,13
2013,11,2.1,13
2013,12,1.7,13
2013,1,1.5,15
2013,2,1.3,15
2013,3,1.5,15
2013,4,1.6,15
2013,5,1.5,15
2013,6,1.3,15
2013,7,1.4,15
2013,8,1.8,15
2013,9,1.4,15
2013,10,1.4,15
2013,11,1.4,15
2013,12,1.6,15
