sic,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
71,00-0000,        4800,  10.75,,,,
71,11-0000,         380,  21.95,,,,
71,11-1011,          60,  24.90,,,,
71,11-1021,         200,  22.90,,,,
71,11-2022,          50,  21.14,,,,
71,11-9011,          40,  18.11,,,,
71,17-0000,          40,  14.56,,,,
71,19-0000,          60,  18.36,,,,
71,37-0000,         570,  11.93,,,,
71,37-1012,          60,  21.85,,,,
71,37-3011,         250,  11.91,,,,
71,37-3012,         230,  11.72,,,,
71,41-0000,         130,  19.30,,,,
71,41-4012,          80,  20.02,,,,
71,43-0000,         480,   9.54,,,,
71,43-1011,          30,  13.63,,,,
71,43-3031,         120,  11.54,,,,
71,43-6011,          30,  14.20,,,,
71,43-6014,         150,   7.51,,,,
71,43-9061,          80,   9.62,,,,
71,45-0000,        1740,   9.75,,,,
71,45-1011,         170,  15.95,,,,
71,45-2091,        1150,  10.11,,,,
71,45-2092,         330,   7.35,,,,
71,47-0000,         210,  10.61,,,,
71,47-1011,          30,  15.78,,,,
71,47-2073,         130,  10.09,,,,
71,49-0000,         200,  11.14,,,,
71,49-3031,          30,   8.30,,,,
71,49-3041,          90,  15.67,,,,
71,49-9042,          30,  10.02,,,,
71,51-0000,         100,   9.48,,,,
71,51-9023,**,   9.47,,,,
71,53-0000,         860,  10.19,,,,
71,53-3032,         460,  11.08,,,,
71,53-3033,         160,   9.46,,,,
71,53-7062,         150,   8.27,,,,
72,00-0000,      127220,   7.19,,,,
72,11-0000,        5210,  22.94,,,,
72,11-1011,         520,  34.10,,,,
72,11-1021,        1870,  23.88,,,,
72,11-2011,          40,  28.08,,,,
72,11-2022,         370,  32.76,,,,
72,11-3031,         280,  27.33,,,,
72,11-3040,         110,  22.75,,,,
72,11-3051,         360,  23.21,,,,
72,11-3071,         180,  21.38,,,,
72,11-9011,        1030,  18.22,,,,
72,13-0000,         390,  21.73,,,,
72,13-1023,**,  21.94,,,,
72,13-2011,         220,  21.49,,,,
72,15-0000,         180,  25.58,,,,
72,15-1061,         130,  25.48,,,,
72,17-0000,         210,  15.64,,,,
72,17-2021,          60,  32.69,,,,
72,17-2141,          40,  21.66,,,,
72,19-0000,         670,  11.90,,,,
72,19-1010,         200,  24.97,,,,
72,19-4011,         300,   9.53,,,,
72,19-4021,**,   9.67,,,,
72,25-0000,**,  15.03,,,,
72,25-9021,**,  15.03,,,,
72,33-0000,         250,   8.48,,,,
72,33-9032,         240,   8.43,,,,
72,37-0000,        2940,   8.67,,,,
72,37-2011,         650,   7.35,,,,
72,37-3011,         320,   8.31,,,,
72,37-3012,        1530,   9.07,,,,
72,37-3013,          60,  10.11,,,,
72,41-0000,        1260,  17.83,,,,
72,41-1012,          50,  25.51,,,,
72,41-2011,          40,   6.46,,,,
72,41-2031,**,   7.00,,,,
72,41-4011,**,  17.95,,,,
72,41-4012,         870,  20.02,,,,
