"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2006"	"2006"	"Jan., 2006"	"2006/01"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"Feb., 2006"	"2006/02"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"Mar., 2006"	"2006/03"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"Apr., 2006"	"2006/04"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"May, 2006"	"2006/05"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"Jun., 2006"	"2006/06"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"Jul., 2006"	"2006/07"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"Aug., 2006"	"2006/08"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"Sep., 2006"	"2006/09"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"Oct., 2006"	"2006/10"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"Nov., 2006"	"2006/11"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"Dec., 2006"	"2006/12"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2006"	"2006"	"Jan., 2006"	"2006/01"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2006"	"2006"	"Feb., 2006"	"2006/02"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2006"	"2006"	"Mar., 2006"	"2006/03"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2006"	"2006"	"Apr., 2006"	"2006/04"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2006"	"2006"	"May, 2006"	"2006/05"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2006"	"2006"	"Jun., 2006"	"2006/06"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2006"	"2006"	"Jul., 2006"	"2006/07"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2006"	"2006"	"Aug., 2006"	"2006/08"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2006"	"2006"	"Sep., 2006"	"2006/09"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2006"	"2006"	"Oct., 2006"	"2006/10"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2006"	"2006"	"Nov., 2006"	"2006/11"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2006"	"2006"	"Dec., 2006"	"2006/12"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"2006"	"2006"	"Jan., 2006"	"2006/01"	31	Not Applicable	Not Applicable
	"Arizona"	"04"	"2006"	"2006"	"Feb., 2006"	"2006/02"	21	Not Applicable	Not Applicable
	"Arizona"	"04"	"2006"	"2006"	"Mar., 2006"	"2006/03"	34	Not Applicable	Not Applicable
	"Arizona"	"04"	"2006"	"2006"	"Apr., 2006"	"2006/04"	38	Not Applicable	Not Applicable
	"Arizona"	"04"	"2006"	"2006"	"May, 2006"	"2006/05"	25	Not Applicable	Not Applicable
	"Arizona"	"04"	"2006"	"2006"	"Jun., 2006"	"2006/06"	33	Not Applicable	Not Applicable
	"Arizona"	"04"	"2006"	"2006"	"Jul., 2006"	"2006/07"	38	Not Applicable	Not Applicable
	"Arizona"	"04"	"2006"	"2006"	"Aug., 2006"	"2006/08"	30	Not Applicable	Not Applicable
	"Arizona"	"04"	"2006"	"2006"	"Sep., 2006"	"2006/09"	20	Not Applicable	Not Applicable
	"Arizona"	"04"	"2006"	"2006"	"Oct., 2006"	"2006/10"	27	Not Applicable	Not Applicable
	"Arizona"	"04"	"2006"	"2006"	"Nov., 2006"	"2006/11"	25	Not Applicable	Not Applicable
	"Arizona"	"04"	"2006"	"2006"	"Dec., 2006"	"2006/12"	27	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2006"	"2006"	"Jan., 2006"	"2006/01"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2006"	"2006"	"Feb., 2006"	"2006/02"	13	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2006"	"2006"	"Mar., 2006"	"2006/03"	13	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2006"	"2006"	"Apr., 2006"	"2006/04"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2006"	"2006"	"May, 2006"	"2006/05"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2006"	"2006"	"Jun., 2006"	"2006/06"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2006"	"2006"	"Jul., 2006"	"2006/07"	11	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2006"	"2006"	"Aug., 2006"	"2006/08"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2006"	"2006"	"Sep., 2006"	"2006/09"	12	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2006"	"2006"	"Oct., 2006"	"2006/10"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2006"	"2006"	"Nov., 2006"	"2006/11"	14	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2006"	"2006"	"Dec., 2006"	"2006/12"	17	Not Applicable	Not Applicable
	"California"	"06"	"2006"	"2006"	"Jan., 2006"	"2006/01"	120	Not Applicable	Not Applicable
	"California"	"06"	"2006"	"2006"	"Feb., 2006"	"2006/02"	84	Not Applicable	Not Applicable
