"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2001"	"2001"	"Jan., 2001"	"2001/01"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Feb., 2001"	"2001/02"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Mar., 2001"	"2001/03"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Apr., 2001"	"2001/04"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"May, 2001"	"2001/05"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Jun., 2001"	"2001/06"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Jul., 2001"	"2001/07"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Aug., 2001"	"2001/08"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Sep., 2001"	"2001/09"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Oct., 2001"	"2001/10"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Nov., 2001"	"2001/11"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Dec., 2001"	"2001/12"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2001"	"2001"	"Jan., 2001"	"2001/01"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2001"	"2001"	"Feb., 2001"	"2001/02"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2001"	"2001"	"Mar., 2001"	"2001/03"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2001"	"2001"	"Apr., 2001"	"2001/04"	Suppressed	Not Applicable	Not Applicable
