"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2008"	"2008"	"Jan., 2008"	"2008/01"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"Feb., 2008"	"2008/02"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"Mar., 2008"	"2008/03"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"Apr., 2008"	"2008/04"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"May, 2008"	"2008/05"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"Jun., 2008"	"2008/06"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"Jul., 2008"	"2008/07"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"Aug., 2008"	"2008/08"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"Sep., 2008"	"2008/09"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"Oct., 2008"	"2008/10"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"Nov., 2008"	"2008/11"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"Dec., 2008"	"2008/12"	13	Not Applicable	Not Applicable
	"Alaska"	"02"	"2008"	"2008"	"Jan., 2008"	"2008/01"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2008"	"2008"	"Feb., 2008"	"2008/02"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"2008"	"2008"	"Mar., 2008"	"2008/03"	13	Not Applicable	Not Applicable
	"Alaska"	"02"	"2008"	"2008"	"Apr., 2008"	"2008/04"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"2008"	"2008"	"May, 2008"	"2008/05"	Suppressed	Not Applicable	Not Applicable
