"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2004"	"2004"	"Jan., 2004"	"2004/01"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"Feb., 2004"	"2004/02"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"Mar., 2004"	"2004/03"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"Apr., 2004"	"2004/04"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"May, 2004"	"2004/05"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"Jun., 2004"	"2004/06"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"Jul., 2004"	"2004/07"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"Aug., 2004"	"2004/08"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"Sep., 2004"	"2004/09"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"Oct., 2004"	"2004/10"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"Nov., 2004"	"2004/11"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"Dec., 2004"	"2004/12"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2004"	"2004"	"Jan., 2004"	"2004/01"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2004"	"2004"	"Feb., 2004"	"2004/02"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2004"	"2004"	"Mar., 2004"	"2004/03"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2004"	"2004"	"Apr., 2004"	"2004/04"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2004"	"2004"	"May, 2004"	"2004/05"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2004"	"2004"	"Jun., 2004"	"2004/06"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2004"	"2004"	"Jul., 2004"	"2004/07"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2004"	"2004"	"Aug., 2004"	"2004/08"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2004"	"2004"	"Sep., 2004"	"2004/09"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2004"	"2004"	"Oct., 2004"	"2004/10"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2004"	"2004"	"Nov., 2004"	"2004/11"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2004"	"2004"	"Dec., 2004"	"2004/12"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"2004"	"2004"	"Jan., 2004"	"2004/01"	15	Not Applicable	Not Applicable
	"Arizona"	"04"	"2004"	"2004"	"Feb., 2004"	"2004/02"	30	Not Applicable	Not Applicable
	"Arizona"	"04"	"2004"	"2004"	"Mar., 2004"	"2004/03"	23	Not Applicable	Not Applicable
	"Arizona"	"04"	"2004"	"2004"	"Apr., 2004"	"2004/04"	23	Not Applicable	Not Applicable
	"Arizona"	"04"	"2004"	"2004"	"May, 2004"	"2004/05"	26	Not Applicable	Not Applicable
	"Arizona"	"04"	"2004"	"2004"	"Jun., 2004"	"2004/06"	19	Not Applicable	Not Applicable
	"Arizona"	"04"	"2004"	"2004"	"Jul., 2004"	"2004/07"	26	Not Applicable	Not Applicable
	"Arizona"	"04"	"2004"	"2004"	"Aug., 2004"	"2004/08"	17	Not Applicable	Not Applicable
	"Arizona"	"04"	"2004"	"2004"	"Sep., 2004"	"2004/09"	17	Not Applicable	Not Applicable
	"Arizona"	"04"	"2004"	"2004"	"Oct., 2004"	"2004/10"	23	Not Applicable	Not Applicable
	"Arizona"	"04"	"2004"	"2004"	"Nov., 2004"	"2004/11"	18	Not Applicable	Not Applicable
	"Arizona"	"04"	"2004"	"2004"	"Dec., 2004"	"2004/12"	21	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2004"	"2004"	"Jan., 2004"	"2004/01"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2004"	"2004"	"Feb., 2004"	"2004/02"	11	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2004"	"2004"	"Mar., 2004"	"2004/03"	10	Not Applicable	Not Applicable
