sic,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
71,00-0000,5460,11.55,,,,
71,11-0000,410,22.91,,,,
71,11-1011,50,24.88,,,,
71,11-1021,230,23.97,,,,
71,11-9011,**,17.41,,,,
71,13-0000,30,20.54,,,,
71,19-0000,60,18.26,,,,
71,37-0000,440,12.06,,,,
71,37-1012,30,15.4,,,,
71,37-3011,190,12.31,,,,
71,37-3012,190,12.12,,,,
71,41-0000,160,21.15,,,,
71,41-4012,110,22.86,,,,
71,43-0000,610,10.12,,,,
71,43-1011,40,15.73,,,,
71,43-3031,150,11.9,,,,
71,43-6011,60,14.86,,,,
71,43-6014,140,8.69,,,,
71,43-9061,130,9,,,,
71,45-0000,2100,10.59,,,,
71,45-1011,**,17.68,,,,
71,45-2091,1300,10.97,,,,
71,45-2092,**,8.12,,,,
71,47-0000,160,11.43,,,,
71,47-2073,110,11.04,,,,
71,49-0000,220,12.8,,,,
71,49-3041,100,16.69,,,,
71,49-9042,40,10.77,,,,
71,51-0000,120,10.03,,,,
71,53-0000,1120,11,,,,
71,53-3032,630,12.41,,,,
71,53-3033,190,9.77,,,,
71,53-7051,60,12.16,,,,
71,53-7062,170,9.41,,,,
72,00-0000,128520,7.69,,,,
72,11-0000,4980,23.93,,,,
72,11-1011,450,40.79,,,,
72,11-1021,1920,25.11,,,,
72,11-2011,40,25.83,,,,
72,11-2022,300,32.61,,,,
72,11-3031,230,28.23,,,,
72,11-3040,90,24.23,,,,
72,11-3051,350,22.96,,,,
72,11-3071,180,22.04,,,,
72,11-9011,950,19.39,,,,
72,13-0000,490,21.86,,,,
72,13-1021,70,23.03,,,,
72,13-2011,240,22.03,,,,
72,15-0000,160,25.05,,,,
72,15-1061,110,25.39,,,,
72,17-0000,180,18.75,,,,
72,17-2021,50,32.99,,,,
72,17-2141,30,25.62,,,,
72,19-0000,670,13.32,,,,
72,19-1010,220,24.61,,,,
72,19-4011,240,10.74,,,,
72,19-4021,70,9.79,,,,
72,25-0000,30,16.38,,,,
72,25-9021,30,16.38,,,,
72,29-0000,30,19.44,,,,
72,29-9010,30,19.46,,,,
72,33-0000,160,8.52,,,,
72,33-9032,160,8.48,,,,
72,37-0000,3080,8.57,,,,
72,37-1012,70,20.87,,,,
72,37-2011,780,7.55,,,,
72,37-3011,240,8.57,,,,
72,37-3012,1650,8.68,,,,
72,37-3013,90,13.26,,,,
72,41-0000,1110,18.48,,,,
72,41-1012,60,28.2,,,,
72,41-2011,30,7.84,,,,
72,41-2031,**,7.24,,,,
72,41-4012,780,21.18,,,,
72,43-0000,9110,10.05,,,,
72,43-1011,670,15.14,,,,
72,43-2011,50,10.51,,,,
72,43-3011,60,11.86,,,,
72,43-3021,**,6.57,,,,
72,43-3031,1660,11.62,,,,
72,43-3051,350,11.89,,,,
72,43-3061,50,12.5,,,,
72,43-4051,40,15.65,,,,
72,43-4071,160,8.28,,,,
72,43-4151,180,11.73,,,,
72,43-4161,80,10.83,,,,
72,43-4171,300,9.7,,,,
72,43-5071,1290,9.36,,,,
72,43-5081,70,8.81,,,,
72,43-5111,700,7.33,,,,
72,43-6011,290,15.29,,,,
72,43-6014,1220,9.34,,,,
72,43-9011,100,10.85,,,,
72,43-9021,150,8.76,,,,
72,43-9061,1530,8.59,,,,
72,45-0000,64090,7.1,,,,
72,45-1011,3370,15.67,,,,
72,45-1012,150,11.28,,,,
72,45-2011,280,10.03,,,,
72,45-2041,17590,6.81,,,,
72,45-2091,14820,7.13,,,,
72,45-2092,25710,7.12,,,,
72,45-2093,320,7.21,,,,
72,47-0000,**,8.6,,,,
72,47-2073,**,8.13,,,,
72,49-0000,3870,11.07,,,,
72,49-1011,100,23.5,,,,
72,49-3011,**,13.82,,,,
72,49-3031,270,12.81,,,,
72,49-3041,680,10.83,,,,
72,49-3042,180,15.59,,,,
72,49-3093,**,7.15,,,,
72,49-9042,1580,11.34,,,,
72,49-9043,530,9.25,,,,
72,51-0000,10970,7.87,,,,
72,51-1011,970,16.27,,,,
72,51-3091,280,8.9,,,,
72,51-9012,940,6.98,,,,
72,51-9021,170,9.5,,,,
72,51-9023,260,8.85,,,,
72,51-9041,50,8.57,,,,
72,51-9061,790,7.43,,,,
72,51-9111,3630,7.45,,,,
72,51-9121,**,10.91,,,,
72,51-9192,170,8.64,,,,
72,51-9193,170,12.8,,,,
72,51-9198,1390,7.53,,,,
72,53-0000,29260,7.76,,,,
72,53-1011,**,7.84,,,,
72,53-1021,590,14.62,,,,
72,53-1031,190,16,,,,
72,53-2011,**,*,,,,
72,53-2012,1460,*,,,,
72,53-2022,40,9.2,,,,
72,53-3032,2920,9.76,,,,
72,53-3033,640,8.46,,,,
72,53-6031,30,6.82,,,,
72,53-7011,510,7.58,,,,
72,53-7051,3970,8.75,,,,
72,53-7061,120,8.47,,,,
72,53-7062,7610,7.32,,,,
72,53-7063,1340,7.07,,,,
72,53-7064,9240,7.09,,,,
72,53-7072,40,6.85,,,,
72,53-7121,**,7.65,,,,
74,00-0000,230680,9.97,,,,
74,11-0000,3940,20.35,,,,
74,11-1011,770,43.87,,,,
74,11-1021,1910,19.87,,,,
74,11-3011,60,23.02,,,,
74,11-3040,180,15.24,,,,
74,11-9111,630,17.4,,,,
74,13-0000,420,17.37,,,,
74,13-1071,40,13.73,,,,
74,13-2011,190,17.83,,,,
74,15-0000,80,13.85,,,,
74,15-1061,40,14.68,,,,
74,29-0000,87840,14.18,,,,
74,29-1131,38130,29.79,,,,
74,29-2012,1330,10.33,,,,
74,29-2056,47460,10.65,,,,
74,31-0000,53090,8.21,,,,
74,31-9096,52390,8.2,,,,
74,37-0000,3200,7.62,,,,
74,37-1011,80,10.67,,,,
74,37-1012,**,11.63,,,,
74,37-2011,2220,7.34,,,,
74,37-2012,240,7.17,,,,
74,37-3011,510,8.18,,,,
74,39-0000,22100,7.37,,,,
74,39-1021,110,12.2,,,,
