naics,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
113000,00-0000,50640,15.82,10.12,12.68,19.48,24.76
113000,11-0000,940,33.13,21.05,27.38,47.97,75.09
113000,11-1021,840,32.80,20.76,27.28,48.03,77.01
113000,11-9011,40,30.41,21.83,24.38,37.33,44.32
113000,13-0000,280,23.54,15.16,20.58,28.14,35.95
113000,13-1023,150,22.89,11.99,19.08,26.71,30.83
113000,13-1199,**,23.29,20.19,21.37,25.02,31.86
113000,13-2011,50,30.38,19.32,22.46,36.55,#
113000,19-0000,470,25.10,16.14,19.99,32.66,38.09
113000,19-1032,410,26.07,16.99,20.88,33.48,38.76
113000,19-4093,60,20.27,13.03,15.27,24.97,29.50
113000,33-0000,90,10.07,8.40,8.41,12.44,14.63
113000,33-9032,80,9.83,8.40,8.41,12.37,14.64
113000,37-0000,90,9.61,7.08,7.69,12.10,14.15
113000,37-2011,60,8.36,6.94,7.39,10.41,12.28
113000,41-4012,**,23.84,10.17,14.76,26.67,28.52
113000,43-0000,3800,12.10,7.54,8.92,15.88,20.21
113000,43-1011,130,17.27,12.82,14.42,20.61,25.04
113000,43-3031,950,14.32,8.78,11.06,17.97,23.07
113000,43-3051,260,13.80,8.24,9.53,18.82,20.54
113000,43-4171,60,8.94,7.37,8.06,9.90,11.35
113000,43-5032,**,10.15,8.16,8.87,11.63,20.08
113000,43-6011,80,14.70,7.89,10.79,22.05,26.32
113000,43-6014,940,11.89,7.71,9.22,15.17,18.37
113000,43-9061,1260,9.87,7.16,7.79,13.68,17.10
113000,45-0000,31430,15.97,10.53,12.91,19.44,24.27
113000,45-1011,2320,23.25,13.73,18.01,29.77,36.46
113000,45-2099,220,14.86,9.66,12.24,17.45,19.19
113000,45-4011,70,13.61,7.82,11.39,17.42,19.13
113000,45-4021,5620,15.54,9.95,12.05,19.56,27.88
113000,45-4022,19570,15.51,10.56,12.76,18.65,22.13
113000,45-4023,370,17.65,11.18,13.32,22.96,30.29
113000,45-4029,3260,16.70,10.59,13.91,19.26,21.75
113000,47-0000,480,15.54,10.57,12.11,21.36,25.51
113000,47-2073,450,15.16,10.49,11.91,20.74,24.68
113000,49-0000,1710,16.93,10.84,13.75,20.35,27.56
113000,49-1011,50,24.61,16.31,18.97,31.54,38.73
113000,49-3031,210,18.32,10.94,13.87,21.72,27.79
113000,49-3042,870,16.96,12.32,14.31,19.97,27.58
113000,49-9042,230,14.33,9.09,11.33,17.89,20.51
113000,49-9043,80,14.33,7.84,10.62,17.17,19.25
113000,49-9096,140,18.77,15.06,16.60,23.56,35.68
113000,49-9098,60,9.79,8.19,8.83,13.18,15.43
113000,51-0000,1320,15.34,10.34,12.50,20.59,24.18
113000,51-1011,50,17.84,12.73,14.53,23.55,32.84
113000,51-7041,1120,15.54,10.58,12.70,20.95,24.33
113000,51-7042,**,11.59,7.35,8.54,13.45,15.87
